CBSA_code,CBSA_name,year,Personal income (thousands of dollars),Population (persons),Per capita personal income (dollars),Net earnings by place of residence (thousands of dollars),Per capita net earnings (dollars),Per capita personal current transfer receipts (dollars),Per capita income maintenance benefits (dollars),Per capita unemployment insurance compensation (dollars),Per capita retirement and other (dollars),"Per capita dividends, interest, and rent (dollars)",Real GDP (thousands of chained 2017 dollars),Chain-type quantity indexes for real GDP,Current-dollar GDP (thousands of current dollars)
10180,"Abilene, TX",1969,397478,125138,3176,297615,2378,288,20,3,265,510,NA,NA,NA
10180,"Abilene, TX",1970,445225,122505,3634,327407,2673,340,24,4,311,622,NA,NA,NA
10180,"Abilene, TX",1971,476061,124841,3813,347470,2783,378,24,7,346,652,NA,NA,NA
10180,"Abilene, TX",1972,541293,128517,4212,397906,3096,407,22,6,379,709,NA,NA,NA
10180,"Abilene, TX",1973,581519,127533,4560,417336,3272,494,22,4,468,794,NA,NA,NA
10180,"Abilene, TX",1974,655804,128625,5099,459696,3574,574,43,5,526,951,NA,NA,NA
10180,"Abilene, TX",1975,771668,131031,5889,540643,4126,677,48,13,616,1086,NA,NA,NA
10180,"Abilene, TX",1976,852803,133379,6394,601789,4512,727,51,13,663,1155,NA,NA,NA
10180,"Abilene, TX",1977,926754,133052,6965,654348,4918,774,48,19,706,1274,NA,NA,NA
10180,"Abilene, TX",1978,1062407,134462,7901,751482,5589,849,47,22,780,1463,NA,NA,NA
10180,"Abilene, TX",1979,1210008,136601,8858,858647,6286,929,53,17,858,1644,NA,NA,NA
10180,"Abilene, TX",1980,1397182,140098,9973,973239,6947,1034,67,11,956,1993,NA,NA,NA
10180,"Abilene, TX",1981,1681458,143310,11733,1173274,8187,1136,67,10,1059,2411,NA,NA,NA
10180,"Abilene, TX",1982,1804667,148899,12120,1213963,8153,1216,60,28,1129,2751,NA,NA,NA
10180,"Abilene, TX",1983,1890846,152939,12363,1247722,8158,1291,61,38,1192,2914,NA,NA,NA
10180,"Abilene, TX",1984,2009206,153587,13082,1314748,8560,1371,63,28,1280,3150,NA,NA,NA
10180,"Abilene, TX",1985,2138379,153470,13934,1378456,8982,1467,68,36,1363,3485,NA,NA,NA
10180,"Abilene, TX",1986,2128401,155031,13729,1361687,8783,1590,81,77,1432,3355,NA,NA,NA
10180,"Abilene, TX",1987,2090408,153655,13605,1321105,8598,1694,99,69,1525,3313,NA,NA,NA
10180,"Abilene, TX",1988,2186912,150042,14575,1386934,9244,1810,120,45,1645,3522,NA,NA,NA
10180,"Abilene, TX",1989,2271782,149324,15214,1392828,9328,1944,147,40,1757,3942,NA,NA,NA
10180,"Abilene, TX",1990,2324194,147834,15722,1448882,9801,2171,179,42,1950,3750,NA,NA,NA
10180,"Abilene, TX",1991,2385186,147400,16182,1475585,10011,2428,212,46,2170,3743,NA,NA,NA
10180,"Abilene, TX",1992,2539683,149917,16941,1586249,10581,2723,247,77,2399,3637,NA,NA,NA
10180,"Abilene, TX",1993,2664760,152909,17427,1653658,10815,2806,258,72,2476,3806,NA,NA,NA
10180,"Abilene, TX",1994,2721192,153779,17695,1703155,11075,2989,277,48,2665,3631,NA,NA,NA
10180,"Abilene, TX",1995,2911786,156097,18654,1791542,11477,3210,302,45,2864,3966,NA,NA,NA
10180,"Abilene, TX",1996,3100216,156351,19829,1915565,12252,3424,328,45,3051,4153,NA,NA,NA
10180,"Abilene, TX",1997,3324250,157405,21119,2098390,13331,3565,332,38,3195,4223,NA,NA,NA
10180,"Abilene, TX",1998,3472112,158264,21939,2188195,13826,3581,332,38,3211,4532,NA,NA,NA
10180,"Abilene, TX",1999,3609231,159755,22592,2309470,14456,3668,342,43,3283,4468,NA,NA,NA
10180,"Abilene, TX",2000,3699665,160288,23081,2313862,14436,3788,343,35,3410,4857,NA,NA,NA
10180,"Abilene, TX",2001,3781370,158917,23795,2352499,14803,4129,352,43,3734,4862,5286630,77.435,3716716
10180,"Abilene, TX",2002,3951625,159012,24851,2469665,15531,4446,406,66,3974,4874,5342042,78.247,3831060
10180,"Abilene, TX",2003,4201840,158810,26458,2627519,16545,4745,455,111,4179,5169,5438921,79.666,4028398
10180,"Abilene, TX",2004,4389872,160156,27410,2783711,17381,4960,485,70,4406,5068,5565831,81.525,4260591
10180,"Abilene, TX",2005,4626074,160761,28776,2906783,18081,5366,542,51,4774,5328,5692062,83.374,4531865
10180,"Abilene, TX",2006,4914261,161389,30450,3130365,19396,5627,532,46,5049,5426,6126025,89.73,5050386
10180,"Abilene, TX",2007,5173944,162023,31933,3214551,19840,6117,547,46,5524,5976,6338833,92.847,5394366
10180,"Abilene, TX",2008,5724861,162508,35228,3468878,21346,6680,595,69,6016,7202,6397914,93.713,5619365
10180,"Abilene, TX",2009,5488615,163888,33490,3278819,20006,7109,677,201,6232,6374,6249007,91.532,5494157
10180,"Abilene, TX",2010,5787829,165680,34934,3466312,20922,7673,765,232,6677,6339,6487399,95.023,5796673
10180,"Abilene, TX",2011,6150171,167102,36805,3648717,21835,7797,766,183,6848,7173,6537181,95.753,5962397
10180,"Abilene, TX",2012,6416566,168296,38127,3830347,22760,7733,749,149,6835,7634,6732935,98.62,6249717
10180,"Abilene, TX",2013,6596716,168689,39106,4021396,23839,8003,751,115,7137,7263,6834707,100.111,6462183
10180,"Abilene, TX",2014,7042550,169942,41441,4299913,25302,8308,748,72,7488,7830,6955561,101.881,6700756
10180,"Abilene, TX",2015,6840205,171666,39846,4008271,23349,8770,760,83,7926,7727,6827936,100.011,6632435
10180,"Abilene, TX",2016,6745585,172344,39140,3855116,22369,9179,765,87,8328,7592,6686943,97.946,6576472
10180,"Abilene, TX",2017,6982977,173029,40357,3935668,22746,9354,781,72,8500,8258,6827152,100,6827152
10180,"Abilene, TX",2018,7444071,174118,42753,4259056,24461,9723,747,57,8918,8570,7141273,104.601,7301986
10180,"Abilene, TX",2019,7896539,175288,45049,4601477,26251,10150,776,59,9315,8648,7455255,109.2,7792209
10180,"Abilene, TX",2020,8464471,176883,47854,4675399,26432,12711,865,787,11059,8711,7387697,108.211,7891821
10180,"Abilene, TX",2021,9246325,177831,51995,4921994,27678,15036,1446,469,13121,9281,7603626,111.373,8503702
10180,"Abilene, TX",2022,9614514,179665,53514,5433170,30241,13027,985,52,11990,10246,8006032,117.268,9606966
10180,"Abilene, TX",2023,10175211,181591,56034,5726722,31536,13566,755,70,12741,10931,8270864,121.147,10306623
10420,"Akron, OH",1969,2720989,676214,4024,2217129,3279,262,19,6,238,483,NA,NA,NA
10420,"Akron, OH",1970,2838776,679077,4180,2272455,3346,306,27,13,266,528,NA,NA,NA
10420,"Akron, OH",1971,2990538,679231,4403,2361209,3476,358,37,20,302,569,NA,NA,NA
10420,"Akron, OH",1972,3263561,677046,4820,2579625,3810,401,45,19,336,609,NA,NA,NA
10420,"Akron, OH",1973,3568727,676196,5278,2799609,4140,471,50,13,408,667,NA,NA,NA
10420,"Akron, OH",1974,3882656,670284,5793,2995056,4468,565,65,24,476,759,NA,NA,NA
10420,"Akron, OH",1975,4114360,672844,6115,3074507,4569,736,87,88,561,809,NA,NA,NA
10420,"Akron, OH",1976,4425010,667910,6625,3316329,4965,793,103,68,622,867,NA,NA,NA
10420,"Akron, OH",1977,4944761,662233,7467,3767014,5688,822,97,46,678,957,NA,NA,NA
10420,"Akron, OH",1978,5471768,658517,8309,4188650,6361,881,91,40,751,1067,NA,NA,NA
10420,"Akron, OH",1979,6012640,660364,9105,4566062,6914,997,97,54,845,1194,NA,NA,NA
10420,"Akron, OH",1980,6610014,660334,10010,4826621,7309,1252,128,152,972,1449,NA,NA,NA
10420,"Akron, OH",1981,7239766,658870,10988,5143864,7807,1395,150,114,1132,1786,NA,NA,NA
10420,"Akron, OH",1982,7571663,656126,11540,5204087,7932,1592,154,174,1264,2017,NA,NA,NA
10420,"Akron, OH",1983,7989627,653968,12217,5443356,8324,1718,174,166,1378,2176,NA,NA,NA
10420,"Akron, OH",1984,8692790,651917,13334,5952301,9130,1774,178,86,1510,2430,NA,NA,NA
10420,"Akron, OH",1985,9205265,648457,14196,6289403,9699,1907,197,78,1632,2589,NA,NA,NA
10420,"Akron, OH",1986,9631902,646647,14895,6582567,10180,2022,205,73,1744,2694,NA,NA,NA
10420,"Akron, OH",1987,10060671,647810,15530,6939885,10713,2122,207,73,1842,2695,NA,NA,NA
10420,"Akron, OH",1988,10763469,652814,16488,7388020,11317,2226,219,60,1947,2944,NA,NA,NA
10420,"Akron, OH",1989,11727838,655626,17888,7939260,12109,2392,236,66,2089,3387,NA,NA,NA
10420,"Akron, OH",1990,12392348,658654,18815,8327218,12643,2676,259,66,2351,3496,NA,NA,NA
10420,"Akron, OH",1991,12709715,664478,19127,8532190,12840,2811,278,97,2435,3476,NA,NA,NA
10420,"Akron, OH",1992,13565559,669752,20255,9150843,13663,3057,302,136,2619,3535,NA,NA,NA
10420,"Akron, OH",1993,14168305,674114,21018,9587819,14223,3200,313,105,2783,3595,NA,NA,NA
10420,"Akron, OH",1994,15051438,678063,22198,10206249,15052,3341,329,72,2940,3805,NA,NA,NA
10420,"Akron, OH",1995,15976000,682146,23420,10653547,15618,3538,335,64,3138,4265,NA,NA,NA
10420,"Akron, OH",1996,16791980,687264,24433,11266415,16393,3636,332,67,3237,4404,NA,NA,NA
10420,"Akron, OH",1997,17738166,689461,25728,11946387,17327,3748,348,63,3336,4653,NA,NA,NA
10420,"Akron, OH",1998,18868855,691039,27305,12826335,18561,3755,336,57,3363,4989,NA,NA,NA
10420,"Akron, OH",1999,19462197,693125,28079,13495626,19471,3850,354,61,3436,4758,NA,NA,NA
10420,"Akron, OH",2000,20616520,695946,29624,14264183,20496,4097,363,66,3669,5031,NA,NA,NA
10420,"Akron, OH",2001,21031173,698108,30126,14551351,20844,4410,369,111,3931,4872,30570431,83.927,22409804
10420,"Akron, OH",2002,21350531,699533,30521,14858166,21240,4717,401,165,4151,4564,31915076,87.619,23803428
10420,"Akron, OH",2003,22186488,701139,31643,15373675,21927,4935,436,158,4341,4782,33064642,90.775,25017817
10420,"Akron, OH",2004,23032227,701811,32818,16187094,23065,5129,449,116,4563,4624,33703560,92.529,26186388
10420,"Akron, OH",2005,23617474,702498,33619,16411927,23362,5366,481,102,4783,4891,34562361,94.887,27619838
10420,"Akron, OH",2006,24551474,702433,34952,16813704,23936,5634,502,100,5032,5381,34159207,93.78,28185040
10420,"Akron, OH",2007,25752899,703423,36611,17369921,24693,5972,544,104,5323,5945,34801508,95.543,29484399
10420,"Akron, OH",2008,26977431,703300,38358,17800580,25310,6749,624,157,5969,6299,34677830,95.204,29912418
10420,"Akron, OH",2009,26085638,703361,37087,16874114,23991,7377,708,433,6236,5719,32495789,89.213,28764719
10420,"Akron, OH",2010,26772180,703057,38080,17298102,24604,7839,783,429,6626,5637,33289652,91.393,29581666
10420,"Akron, OH",2011,27986319,703260,39795,18089415,25722,7980,819,297,6864,6093,33366153,91.603,30090713
10420,"Akron, OH",2012,28861419,702223,41100,18716779,26654,7774,804,200,6770,6673,33664676,92.422,31046118
10420,"Akron, OH",2013,29308703,703776,41645,19145899,27205,7901,781,160,6961,6539,34425311,94.51,32306807
10420,"Akron, OH",2014,30554060,705090,43334,19807825,28093,8268,749,90,7429,6973,35267685,96.823,33594178
10420,"Akron, OH",2015,31480258,704604,44678,20299145,28809,8564,748,86,7730,7305,35587178,97.7,34675465
10420,"Akron, OH",2016,31999528,703787,45468,20481271,29102,8718,746,88,7884,7648,35715828,98.053,35297434
10420,"Akron, OH",2017,33213211,704133,47169,21226426,30145,8920,725,84,8111,8104,36424857,100,36424857
10420,"Akron, OH",2018,34556035,703815,49098,21964246,31207,9180,719,78,8383,8711,36883382,101.259,37615672
10420,"Akron, OH",2019,35804941,703235,50915,22782889,32397,9602,760,76,8766,8916,37473869,102.88,39034785
10420,"Akron, OH",2020,38154030,701674,54376,22872438,32597,12736,921,1361,10454,9042,36128928,99.188,38407315
10420,"Akron, OH",2021,41500543,696512,59583,24635220,35369,14011,1302,710,11999,10203,37703119,103.509,41567461
10420,"Akron, OH",2022,41577694,697511,59609,25418409,36442,12596,1567,51,10978,10571,37672860,103.426,44539393
10420,"Akron, OH",2023,43932157,698398,62904,26700532,38231,12988,969,70,11949,11685,38081735,104.549,47285487
10500,"Albany, GA",1969,321140,120767,2659,250750,2076,221,43,3,176,361,NA,NA,NA
10500,"Albany, GA",1970,372190,123598,3011,283132,2291,278,63,5,211,442,NA,NA,NA
10500,"Albany, GA",1971,424311,127456,3329,320769,2517,324,79,6,239,488,NA,NA,NA
10500,"Albany, GA",1972,480038,131775,3643,364583,2767,355,82,5,268,521,NA,NA,NA
10500,"Albany, GA",1973,555071,133860,4147,423176,3161,394,84,6,303,591,NA,NA,NA
10500,"Albany, GA",1974,572953,130309,4397,425275,3264,502,114,11,377,631,NA,NA,NA
10500,"Albany, GA",1975,601973,131861,4565,431623,3273,635,123,59,453,657,NA,NA,NA
10500,"Albany, GA",1976,669194,134378,4980,482657,3592,683,140,54,489,705,NA,NA,NA
10500,"Albany, GA",1977,731117,137462,5319,532114,3871,678,132,30,516,770,NA,NA,NA
10500,"Albany, GA",1978,843252,138191,6102,620539,4490,735,134,24,577,877,NA,NA,NA
10500,"Albany, GA",1979,944315,140660,6713,695272,4943,811,155,26,629,960,NA,NA,NA
10500,"Albany, GA",1980,1053833,142986,7370,748605,5236,967,195,45,727,1167,NA,NA,NA
10500,"Albany, GA",1981,1201313,144771,8298,842632,5820,1093,219,44,830,1385,NA,NA,NA
10500,"Albany, GA",1982,1270280,145744,8716,871117,5977,1177,219,68,890,1562,NA,NA,NA
10500,"Albany, GA",1983,1352587,145846,9274,920966,6315,1285,235,72,978,1674,NA,NA,NA
10500,"Albany, GA",1984,1507538,146534,10288,1040640,7102,1355,246,51,1058,1831,NA,NA,NA
10500,"Albany, GA",1985,1584815,147235,10764,1089428,7399,1435,251,50,1134,1930,NA,NA,NA
10500,"Albany, GA",1986,1652994,146612,11275,1122437,7656,1557,278,68,1212,2061,NA,NA,NA
10500,"Albany, GA",1987,1707198,145828,11707,1156299,7929,1638,292,63,1283,2140,NA,NA,NA
10500,"Albany, GA",1988,1835700,144961,12663,1243510,8578,1777,332,52,1392,2308,NA,NA,NA
10500,"Albany, GA",1989,1964930,144058,13640,1292845,8974,1980,374,50,1556,2685,NA,NA,NA
10500,"Albany, GA",1990,2093753,143025,14639,1381959,9662,2193,419,59,1715,2784,NA,NA,NA
10500,"Albany, GA",1991,2234346,144169,15498,1460822,10133,2495,479,79,1936,2871,NA,NA,NA
10500,"Albany, GA",1992,2343315,146343,16012,1528886,10447,2740,553,120,2067,2825,NA,NA,NA
10500,"Albany, GA",1993,2453561,148122,16564,1592419,10751,2885,579,88,2218,2928,NA,NA,NA
10500,"Albany, GA",1994,2679818,149356,17942,1759697,11782,3062,599,64,2399,3098,NA,NA,NA
10500,"Albany, GA",1995,2825546,150100,18824,1858500,12382,3200,621,51,2528,3243,NA,NA,NA
10500,"Albany, GA",1996,3004881,151596,19822,1973495,13018,3359,660,52,2646,3445,NA,NA,NA
10500,"Albany, GA",1997,3096010,152692,20276,2020007,13229,3448,645,52,2750,3599,NA,NA,NA
10500,"Albany, GA",1998,3220281,153449,20986,2106058,13725,3488,674,62,2752,3773,NA,NA,NA
10500,"Albany, GA",1999,3307061,153555,21537,2175006,14164,3658,669,63,2926,3715,NA,NA,NA
10500,"Albany, GA",2000,3439063,153585,22392,2248724,14642,3954,688,48,3218,3797,NA,NA,NA
10500,"Albany, GA",2001,3516326,153730,22873,2265260,14735,4275,715,83,3478,3863,5949216,104.488,4233185
10500,"Albany, GA",2002,3657100,153024,23899,2329477,15223,4803,747,121,3934,3873,6008442,105.528,4366871
10500,"Albany, GA",2003,3789938,152790,24805,2424625,15869,4837,856,117,3864,4099,6037163,106.033,4457677
10500,"Albany, GA",2004,3883626,152887,25402,2472290,16171,5160,917,80,4162,4072,6100758,107.15,4603632
10500,"Albany, GA",2005,4011286,152919,26231,2587216,16919,5427,963,66,4398,3885,6213286,109.126,4797494
10500,"Albany, GA",2006,4101968,153535,26717,2615521,17035,5717,990,71,4656,3964,6056539,106.373,4829401
10500,"Albany, GA",2007,4271823,153661,27800,2642946,17200,6017,1011,78,4928,4584,5922264,104.015,4869891
10500,"Albany, GA",2008,4453056,153823,28949,2666983,17338,6752,1113,129,5510,4860,5807549,102,4878911
10500,"Albany, GA",2009,4547666,154409,29452,2702115,17500,7375,1283,370,5722,4577,5750321,100.995,4946539
10500,"Albany, GA",2010,4675748,154236,30316,2722217,17650,8000,1393,367,6240,4666,5580803,98.018,4864112
10500,"Albany, GA",2011,4997587,154976,32247,2844933,18357,8330,1465,270,6596,5560,5706573,100.227,5066886
10500,"Albany, GA",2012,5007993,154747,32362,2923592,18893,8144,1495,210,6439,5326,5761812,101.197,5238167
10500,"Albany, GA",2013,4950163,153779,32190,2906266,18899,8399,1532,146,6721,4893,5771682,101.37,5359051
10500,"Albany, GA",2014,5074474,153388,33083,2924893,19069,8812,1524,61,7227,5202,5662279,99.449,5360789
10500,"Albany, GA",2015,5148474,152164,33835,2945898,19360,9080,1468,48,7563,5395,5631247,98.904,5453903
10500,"Albany, GA",2016,5207442,151207,34439,2992704,19792,9242,1447,40,7755,5405,5726021,100.568,5642543
10500,"Albany, GA",2017,5314358,150557,35298,3040104,20192,9593,1429,38,8125,5513,5693673,100,5693673
10500,"Albany, GA",2018,5439642,150605,36119,3098198,20572,9903,1382,35,8486,5644,5702355,100.152,5823243
10500,"Albany, GA",2019,5673123,149667,37905,3215710,21486,10534,1449,36,9050,5885,5836949,102.516,6099135
10500,"Albany, GA",2020,6236991,148249,42071,3280791,22130,13833,1735,1488,10610,6107,5746053,100.92,6154078
10500,"Albany, GA",2021,6807350,144933,46969,3572968,24653,15891,2516,725,12650,6425,6027659,105.866,6776340
10500,"Albany, GA",2022,6816509,145796,46754,3708254,25435,14203,2723,18,11463,7116,6121212,107.509,7351145
10500,"Albany, GA",2023,7063798,145508,48546,3796549,26092,14582,1791,36,12755,7872,6180188,108.545,7782093
10540,"Albany-Lebanon, OR",1969,225174,70221,3207,172300,2454,288,22,17,249,465,NA,NA,NA
10540,"Albany-Lebanon, OR",1970,242957,72587,3347,180395,2485,341,30,30,280,521,NA,NA,NA
10540,"Albany-Lebanon, OR",1971,268934,75547,3560,198012,2621,383,33,40,311,555,NA,NA,NA
10540,"Albany-Lebanon, OR",1972,298356,76467,3902,219834,2875,419,33,39,348,608,NA,NA,NA
10540,"Albany-Lebanon, OR",1973,345781,78150,4425,253644,3246,503,47,30,426,676,NA,NA,NA
10540,"Albany-Lebanon, OR",1974,396139,79006,5014,284672,3603,632,75,52,505,779,NA,NA,NA
10540,"Albany-Lebanon, OR",1975,430189,80942,5315,294087,3633,800,104,97,599,881,NA,NA,NA
10540,"Albany-Lebanon, OR",1976,496928,82420,6029,349369,4239,842,112,78,652,948,NA,NA,NA
10540,"Albany-Lebanon, OR",1977,561977,84723,6633,395977,4674,892,118,76,698,1067,NA,NA,NA
10540,"Albany-Lebanon, OR",1978,626200,86334,7253,439608,5092,955,128,51,776,1206,NA,NA,NA
10540,"Albany-Lebanon, OR",1979,692148,88999,7777,477496,5365,1044,129,62,853,1368,NA,NA,NA
10540,"Albany-Lebanon, OR",1980,763606,89668,8516,507326,5658,1230,154,105,971,1628,NA,NA,NA
10540,"Albany-Lebanon, OR",1981,833954,90173,9248,532387,5904,1423,159,143,1121,1922,NA,NA,NA
10540,"Albany-Lebanon, OR",1982,857929,89748,9559,523300,5831,1609,165,181,1264,2119,NA,NA,NA
10540,"Albany-Lebanon, OR",1983,904701,89415,10118,549979,6151,1721,178,162,1380,2246,NA,NA,NA
10540,"Albany-Lebanon, OR",1984,970857,89253,10878,591839,6631,1807,178,117,1513,2439,NA,NA,NA
10540,"Albany-Lebanon, OR",1985,1012539,88019,11504,616731,7007,1947,188,144,1615,2550,NA,NA,NA
10540,"Albany-Lebanon, OR",1986,1055277,88026,11988,647506,7356,2007,202,94,1712,2625,NA,NA,NA
10540,"Albany-Lebanon, OR",1987,1117016,88069,12683,706138,8018,2072,203,102,1767,2594,NA,NA,NA
10540,"Albany-Lebanon, OR",1988,1246927,89223,13975,807785,9054,2168,207,88,1873,2753,NA,NA,NA
10540,"Albany-Lebanon, OR",1989,1342550,89890,14935,851112,9468,2366,224,88,2054,3101,NA,NA,NA
10540,"Albany-Lebanon, OR",1990,1415247,91690,15435,895697,9769,2509,241,117,2150,3158,NA,NA,NA
10540,"Albany-Lebanon, OR",1991,1494771,93145,16048,931740,10003,2814,288,176,2350,3231,NA,NA,NA
10540,"Albany-Lebanon, OR",1992,1587733,94112,16871,996155,10585,3121,324,237,2560,3165,NA,NA,NA
10540,"Albany-Lebanon, OR",1993,1698486,95496,17786,1062397,11125,3314,333,244,2737,3346,NA,NA,NA
10540,"Albany-Lebanon, OR",1994,1797356,96919,18545,1152147,11888,3275,334,165,2776,3383,NA,NA,NA
10540,"Albany-Lebanon, OR",1995,1917693,98853,19399,1212348,12264,3514,342,152,3020,3622,NA,NA,NA
10540,"Albany-Lebanon, OR",1996,2088151,100582,20761,1337560,13298,3622,329,150,3142,3841,NA,NA,NA
10540,"Albany-Lebanon, OR",1997,2156851,102054,21134,1396857,13687,3660,342,144,3175,3787,NA,NA,NA
10540,"Albany-Lebanon, OR",1998,2216809,102770,21571,1416578,13784,3940,322,193,3425,3847,NA,NA,NA
10540,"Albany-Lebanon, OR",1999,2264510,103462,21887,1451836,14033,4333,377,179,3777,3522,NA,NA,NA
10540,"Albany-Lebanon, OR",2000,2351714,103020,22828,1498377,14545,4544,354,162,4027,3739,NA,NA,NA
10540,"Albany-Lebanon, OR",2001,2563022,103544,24753,1641476,15853,5057,409,208,4440,3843,3603456,79.971,2670480
10540,"Albany-Lebanon, OR",2002,2642147,104561,25269,1700387,16262,5336,453,383,4500,3671,3814373,84.652,2863059
10540,"Albany-Lebanon, OR",2003,2705019,106035,25511,1742451,16433,5414,495,433,4486,3664,3675279,81.565,2807930
10540,"Albany-Lebanon, OR",2004,2888589,106799,27047,1865668,17469,5661,557,234,4870,3917,3959887,87.881,3179613
10540,"Albany-Lebanon, OR",2005,2998178,108132,27727,1940194,17943,6004,604,178,5222,3780,4051086,89.905,3308026
10540,"Albany-Lebanon, OR",2006,3270997,110764,29531,2100835,18967,6348,614,181,5553,4216,4304354,95.526,3641980
10540,"Albany-Lebanon, OR",2007,3421818,112932,30300,2164694,19168,6663,629,184,5850,4469,4026866,89.367,3526642
10540,"Albany-Lebanon, OR",2008,3554002,114967,30913,2136823,18586,7338,677,309,6352,4989,3936444,87.361,3508307
10540,"Albany-Lebanon, OR",2009,3553514,116001,30633,2017486,17392,8492,813,880,6799,4750,3876850,86.038,3440638
10540,"Albany-Lebanon, OR",2010,3693143,116834,31610,2069101,17710,9182,947,845,7389,4719,3843299,85.294,3461937
10540,"Albany-Lebanon, OR",2011,3811233,117911,32323,2133445,18094,9321,1013,632,7676,4908,3880062,86.109,3546439
10540,"Albany-Lebanon, OR",2012,3920700,117817,33278,2242595,19035,9379,1036,494,7850,4864,3921929,87.039,3630458
10540,"Albany-Lebanon, OR",2013,3971148,117752,33725,2242531,19045,9714,990,329,8394,4966,3993713,88.632,3752211
10540,"Albany-Lebanon, OR",2014,4245071,118196,35916,2300473,19463,10709,990,169,9550,5743,4116391,91.354,3961462
10540,"Albany-Lebanon, OR",2015,4526077,119193,37973,2459009,20630,11463,996,173,10293,5880,4318476,95.839,4188777
10540,"Albany-Lebanon, OR",2016,4743153,121549,39023,2629698,21635,11588,946,144,10498,5800,4575970,101.554,4460062
10540,"Albany-Lebanon, OR",2017,5016945,123565,40602,2815250,22784,11735,904,139,10693,6083,4505965,100,4505965
10540,"Albany-Lebanon, OR",2018,5415982,125709,43083,3059845,24341,12304,866,127,11311,6439,4802294,106.576,4955241
10540,"Albany-Lebanon, OR",2019,5655302,127641,44306,3161800,24771,12927,879,132,11917,6608,4930998,109.433,5142195
10540,"Albany-Lebanon, OR",2020,6195300,128981,48033,3260060,25276,16229,1040,1358,13831,6528,4822572,107.026,5080986
10540,"Albany-Lebanon, OR",2021,6796107,130120,52230,3538794,27196,18202,1625,1063,15515,6831,4907036,108.901,5586729
10540,"Albany-Lebanon, OR",2022,7069641,130622,54123,3909230,29928,16956,1859,108,14988,7240,5043047,111.919,6177586
10540,"Albany-Lebanon, OR",2023,7497375,131496,57016,4138937,31476,17672,1250,167,16254,7869,5130128,113.852,6441520
10580,"Albany-Schenectady-Troy, NY",1969,2965738,741040,4002,2259761,3049,342,25,12,305,611,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1970,3299252,749695,4401,2501411,3337,398,32,23,343,666,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1971,3648157,761289,4792,2756260,3621,461,41,28,391,711,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1972,3926002,772468,5082,2958225,3830,500,39,31,430,752,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1973,4229899,774486,5462,3142891,4058,570,38,24,509,833,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1974,4588365,772691,5938,3337743,4320,671,58,35,579,947,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1975,4962911,774345,6409,3479234,4493,885,75,96,714,1031,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1976,5302714,772927,6861,3701763,4789,980,91,86,804,1091,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1977,5731221,774635,7399,3979831,5138,1060,97,63,900,1200,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1978,6268119,776648,8071,4398644,5664,1117,97,53,967,1290,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1979,6893898,776196,8882,4803660,6189,1225,101,48,1076,1468,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1980,7706948,771823,9985,5200915,6738,1451,124,64,1263,1796,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1981,8541421,772505,11057,5617201,7271,1625,133,57,1435,2160,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1982,9360265,773678,12098,6045783,7814,1778,148,63,1567,2506,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1983,10091016,777649,12976,6498601,8357,1902,154,64,1684,2717,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1984,11154998,779804,14305,7267619,9320,1946,145,50,1751,3039,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1985,11982631,783736,15289,7890120,10067,2052,148,55,1850,3170,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1986,12897621,788761,16352,8574430,10871,2124,158,55,1912,3357,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1987,13647830,791466,17244,9243082,11678,2147,159,49,1939,3418,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1988,14860037,798121,18619,10119035,12679,2256,175,49,2032,3684,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1989,16396531,803919,20396,10970061,13646,2415,198,60,2157,4335,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1990,17346457,811352,21380,11721833,14447,2586,233,71,2282,4347,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1991,17941174,818272,21926,11993759,14657,2863,270,119,2474,4405,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1992,18983818,824285,23031,12743332,15460,3226,319,189,2718,4344,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1993,19583059,827812,23656,13163756,15902,3387,350,126,2911,4368,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY",1994,20221703,830817,24340,13572080,16336,3502,365,94,3043,4502,NA,NA,NA
