GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2965738,3299252,3648157,3926002,4229899,4588365,4962911,5302714,5731221,6268119,6893898,7706948,8541421,9360265,10091016,11154998,11982631,12897621,13647830,14860037,16396531,17346457,17941174,18983818,19583059,20221703,20876789,21516307,22745449,23891176,25080928,26898468,28087576,28336896,29334792,30614179,31541783,33231091,34703367,36766707,37056662,38478206,39880474,41075100,41925141,43250532,45477656,46420368,49061892,50521025,52426109,56438055,60559231,61339927,65111784
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",741040,749695,761289,772468,774486,772691,774345,772927,774635,776648,776196,771823,772505,773678,777649,779804,783736,788761,791466,798121,803919,811352,818272,824285,827812,830817,830439,828007,824711,823712,824119,827399,831034,836753,844619,850384,854604,860365,863068,866282,869361,871597,875353,879327,883745,886838,889735,892531,896842,899192,898361,899724,904824,903595,904682
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4002,4401,4792,5082,5462,5938,6409,6861,7399,8071,8882,9985,11057,12098,12976,14305,15289,16352,17244,18619,20396,21380,21926,23031,23656,24340,25139,25986,27580,29004,30434,32510,33798,33865,34731,36000,36908,38624,40209,42442,42625,44147,45559,46712,47440,48769,51114,52010,54705,56185,58358,62728,66929,67884,71972
 "10740","Albuquerque, NM (Metropolitan Statistical Area) *", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1247215,1414627,1598397,1834590,2045489,2292455,2593217,2935369,3288372,3809512,4331685,4860081,5409093,5718373,6289890,6981247,7667553,8168901,8638337,9210625,9782290,10478433,11211814,12025572,12985286,14111389,15196644,16010836,16854669,17595601,17951143,19480949,20530430,21328914,22362921,23803957,25301580,27368094,28692068,30286146,30239770,30703897,32053994,32353248,31909267,33636494,34898581,36276028,37056685,38394032,40727592,44468645,48150340,50319171,52827627
 "10740","Albuquerque, NM (Metropolitan Statistical Area) *", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",377600,382076,397496,407732,426583,440633,450712,464570,481349,492914,508581,525593,534415,511169,522356,533544,544603,558859,574324,583976,594036,602588,616345,633032,649987,669734,687901,700161,709661,717406,722692,732220,741932,757716,772128,789237,809551,831252,849641,863383,876448,889419,897311,900628,903030,901988,902869,905506,907878,909905,912852,917579,919392,920138,922296
 "10740","Albuquerque, NM (Metropolitan Statistical Area) *", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3303,3702,4021,4499,4795,5203,5754,6318,6832,7729,8517,9247,10122,11187,12041,13085,14079,14617,15041,15772,16468,17389,18191,18997,19978,21070,22091,22867,23750,24527,24839,26605,27672,28149,28963,30161,31254,32924,33770,35078,34503,34521,35722,35923,35336,37292,38653,40062,40817,42196,44616,48463,52372,54687,57278
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",370042,398474,452673,494074,549564,596522,667030,750300,821170,932091,1032022,1177483,1309840,1409394,1522844,1612424,1710600,1774798,1825964,1930855,2078568,2207051,2286765,2372643,2506634,2688881,2786969,2863572,2961169,3137444,3248646,3384441,3699497,3831905,3887173,4168844,4552393,4796081,5031343,5349501,5294831,5384073,5669056,5917261,5928836,5993901,6073573,6170549,6218251,6432682,6665271,7236123,7731137,7692020,7966412
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",131387,132287,136756,137425,139971,140176,141141,143786,146270,147614,149880,152197,152773,152877,154017,154515,153989,154335,153188,151377,150180,148982,149046,147621,142225,143086,144162,143970,143986,144330,144803,145179,145102,145416,146017,146973,147930,151142,151506,152442,153164,154112,154537,154640,154966,155013,154652,154762,154298,153626,153039,151800,150882,149068,148171
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2816,3012,3310,3595,3926,4256,4726,5218,5614,6314,6886,7737,8574,9219,9888,10435,11109,11500,11920,12755,13841,14814,15343,16073,17624,18792,19332,19890,20566,21738,22435,23312,25496,26351,26621,28365,30774,31732,33209,35092,34570,34936,36684,38265,38259,38667,39273,39871,40300,41872,43553,47669,51240,51601,53765
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2277980,2470715,2634493,2921986,3293107,3695845,4063395,4421259,4886917,5432118,6060574,6688734,7399895,7930465,8301736,9094132,9734762,10254857,10921810,11886809,12967198,13678792,14357552,15186343,15743213,16318825,17003898,17916540,18864832,19796301,20895662,22524409,24260394,25027250,25925783,27361830,29216634,30649013,33161466,34493147,33402107,34755032,35971191,36448990,36821740,38242249,39981035,41228221,42600202,44618559,47193630,50477378,53805713,54759138,58085377
