"","year","prim_state","CBSA_Code","CBSA_name","tot_emp_school_psychologists","tot_emp_teachers_preschool","tot_emp_bus_drivers","tot_emp_administrators_elemsec","tot_emp_teachers_kindergarten","tot_emp_teachers_elementary","tot_emp_teachers_secondary","tot_emp_administrators_preschool","tot_emp_teachers_middle_school","tot_emp_teachers_other","a_mean_school_psychologists","a_mean_teachers_preschool","a_mean_bus_drivers","a_mean_administrators_elemsec","a_mean_teachers_kindergarten","a_mean_teachers_elementary","a_mean_teachers_secondary","a_mean_administrators_preschool","a_mean_teachers_middle_school","a_mean_teachers_other","a_median_school_psychologists","a_median_teachers_preschool","a_median_bus_drivers","a_median_administrators_elemsec","a_median_teachers_kindergarten","a_median_teachers_elementary","a_median_teachers_secondary","a_median_administrators_preschool","a_median_teachers_middle_school","a_median_teachers_other","tot_emp_substitute_teachers","a_mean_substitute_teachers","a_median_substitute_teachers"
"23",1999,"CA",23420,"Fresno, CA",380,690,920,690,820,5400,4400,NA,2450,NA,48870,17100,24930,68190,42130,43220,45820,NA,44650,NA,47500,15720,25350,67260,42490,41530,45330,NA,45570,NA,NA,NA,NA
"24",1999,"CA",31080,"Los Angeles-Long Beach-Anaheim, CA",6110,9310,11170,5300,7460,56710,38050,1320,20490,NA,112900,43110,49130,170700,79120,91560,95170,73520,93120,NA,114280,39150,47930,164520,72940,86440,93900,70480,89150,NA,NA,NA,NA
"25",1999,"CA",32900,"Merced, CA",100,NA,200,100,280,1820,NA,NA,NA,NA,45640,NA,21700,76160,41700,40430,NA,NA,NA,NA,52420,NA,22140,76020,39490,38650,NA,NA,NA,NA,NA,NA,NA
"26",1999,"CA",33700,"Modesto, CA",230,NA,430,NA,NA,NA,NA,NA,NA,NA,50990,20370,23370,NA,45600,44040,NA,49310,NA,NA,50760,20500,23240,NA,44640,42670,NA,48250,NA,NA,NA,NA,NA
"27",1999,"CA",41860,"San Francisco-Oakland-Fremont, CA",840,NA,3450,1710,2120,20610,8520,140,NA,NA,108130,45600,48210,153060,85490,85310,92260,55670,87020,NA,109190,43720,47730,152110,79410,80660,92450,53360,84430,NA,NA,NA,NA
"28",1999,"CA",39820,"Redding, CA",140,NA,NA,140,50,NA,750,NA,NA,NA,43670,18470,23720,60660,41330,37890,42810,NA,41400,NA,42290,16620,24440,61990,42120,38610,44060,NA,43080,NA,NA,NA,NA
"29",1999,"CA",40140,"Riverside-San Bernardino-Ontario, CA",980,1030,2460,1560,2530,21120,8130,120,4480,NA,53780,19750,23940,73810,40520,46340,46090,33800,43620,NA,55620,17180,23950,75110,39880,44290,45300,30160,41740,NA,NA,NA,NA
"30",1999,"CA",40900,"Sacramento-Roseville-Folsom, CA",730,NA,1260,1020,NA,9170,NA,290,240,NA,99610,36510,46100,155250,85940,83270,86420,46310,43390,NA,97140,34130,45550,153850,83120,80810,84840,42150,42240,NA,NA,NA,NA
"31",1999,"CA",41500,"Salinas, CA",110,NA,160,150,NA,2160,NA,NA,720,NA,41550,21480,25580,74710,42220,43970,46910,NA,44380,NA,47340,20250,26000,75800,40510,42240,45850,NA,43450,NA,NA,NA,NA
"32",1999,"CA",41740,"San Diego-Chula Vista-Carlsbad, CA",1040,3290,1060,1350,1290,16670,9190,NA,NA,NA,51480,17610,23120,80420,44550,43940,45780,NA,NA,NA,50460,16510,23150,81450,42180,41220,44020,NA,NA,NA,NA,NA,NA
"33",1999,"CA",41940,"San Jose-Sunnyvale-Santa Clara, CA",930,2270,3760,760,1450,7980,3830,200,1450,NA,48480,21350,27640,89870,33000,46530,53430,50660,44780,NA,49640,20680,28300,87310,27400,44450,55700,37280,43540,NA,NA,NA,NA
"34",1999,"CA",42020,"San Luis Obispo-Paso Robles, CA",80,NA,160,120,100,980,800,NA,300,NA,60280,19700,28720,73130,41490,43640,44040,34490,44500,NA,61950,19620,27810,76760,40370,41990,44450,28000,45330,NA,NA,NA,NA
"35",1999,"CA",42200,"Santa Maria-Santa Barbara, CA",190,530,NA,210,180,2260,510,NA,NA,NA,47290,17490,NA,70740,43700,43260,44120,NA,42230,NA,50610,17440,NA,74210,42050,42710,43060,NA,42500,NA,NA,NA,NA
"36",1999,"CA",42100,"Santa Cruz-Watsonville, CA",30,660,NA,NA,NA,NA,NA,NA,NA,NA,57200,20240,NA,NA,42400,41390,NA,NA,NA,NA,59830,20400,NA,NA,40730,39280,NA,NA,NA,NA,NA,NA,NA
"37",1999,"CA",42220,"Santa Rosa-Petaluma, CA",170,NA,NA,290,170,2430,1410,NA,1320,NA,50350,21150,NA,70890,43320,42330,44620,NA,43660,NA,50000,21010,NA,69610,44230,41720,44540,NA,43650,NA,NA,NA,NA
