"","year","prim_state","CBSA_Code","CBSA_name","tot_emp_school_psychologists","tot_emp_teachers_preschool","tot_emp_bus_drivers","tot_emp_administrators_elemsec","tot_emp_teachers_kindergarten","tot_emp_teachers_elementary","tot_emp_teachers_secondary","tot_emp_administrators_preschool","tot_emp_teachers_middle_school","tot_emp_teachers_other","a_mean_school_psychologists","a_mean_teachers_preschool","a_mean_bus_drivers","a_mean_administrators_elemsec","a_mean_teachers_kindergarten","a_mean_teachers_elementary","a_mean_teachers_secondary","a_mean_administrators_preschool","a_mean_teachers_middle_school","a_mean_teachers_other","a_median_school_psychologists","a_median_teachers_preschool","a_median_bus_drivers","a_median_administrators_elemsec","a_median_teachers_kindergarten","a_median_teachers_elementary","a_median_teachers_secondary","a_median_administrators_preschool","a_median_teachers_middle_school","a_median_teachers_other","tot_emp_substitute_teachers","a_mean_substitute_teachers","a_median_substitute_teachers"
"1368",2004,"PA",21500,"Erie, PA",60,260,390,260,100,1490,1100,80,520,60,78670,19110,NA,73300,34960,41760,40200,30640,46430,28780,52370,16860,NA,80300,32520,40610,36440,23820,45700,28550,NA,NA,NA
"1369",2004,"PA",25420,"Harrisburg-Carlisle, PA",200,740,1560,580,300,2390,2230,110,1460,NA,61120,20800,19700,75650,36590,43710,47680,48350,48750,NA,56390,20060,18180,81210,35060,44200,47110,35650,47190,NA,NA,NA,NA
"1370",2004,"PA",27780,"Johnstown, PA",NA,120,830,180,100,1400,900,NA,200,30,57870,23340,19130,64130,46460,41530,48440,NA,47110,48220,49200,21720,16800,67070,45070,44300,50460,NA,49260,49740,NA,NA,NA
"1371",2004,"PA",29540,"Lancaster, PA",110,240,700,290,200,2140,2100,60,830,60,56140,23600,21680,74840,45600,50350,50800,35770,47040,36120,51620,21070,21800,75500,46160,50270,50340,30170,46950,35620,NA,NA,NA
"1372",2004,"PA",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2380,6180,10170,3960,2790,30010,20130,1510,13560,4600,55530,26440,24620,85420,47700,51830,54300,36620,53700,33690,50740,23950,24910,87010,44280,49600,52780,32240,52710,29940,NA,NA,NA
"1373",2004,"PA",38300,"Pittsburgh, PA",710,1750,6530,1550,800,12200,12740,480,5740,850,56350,20770,20310,84270,41670,55540,51740,33120,53640,32100,48820,18860,19760,85080,37750,55200,55720,27970,52090,26610,NA,NA,NA
"1374",2004,"PA",39740,"Reading, PA",120,240,830,240,130,1730,1630,120,800,NA,54990,22170,25660,78000,52860,50500,50390,27890,51430,NA,53790,21410,25520,80570,54700,50660,50000,18960,51450,NA,NA,NA,NA
"1375",2004,"PA",14100,"Bloomsburg-Berwick, PA",240,500,1120,420,340,2840,2140,90,1270,80,46280,21290,21520,71430,44550,50660,45130,38250,47040,40300,47390,20440,20860,74360,42780,51270,44990,33800,48940,42110,NA,NA,NA
"1376",2004,"PA",25850,"Hermitage, PA",60,70,150,100,60,420,650,NA,310,NA,66660,27460,19190,69530,46200,43160,46870,NA,48050,NA,72390,28500,18820,69530,46420,45830,46770,NA,48500,NA,NA,NA,NA
"1377",2004,"PA",44300,"State College, PA",40,140,310,90,NA,390,500,NA,380,100,46340,19250,17860,72050,NA,45300,46570,NA,42170,29450,41880,18250,14110,73100,NA,45860,44670,NA,40690,21560,NA,NA,NA
"1378",2004,"PA",48700,"Williamsport, PA",50,60,120,80,130,550,870,NA,NA,NA,56760,NA,20190,72680,48100,42690,51890,NA,51840,NA,55970,NA,16720,75200,46450,41310,52340,NA,52840,NA,NA,NA,NA
"1379",2004,"PA",49620,"York-Hanover, PA",40,440,800,250,NA,2450,1370,60,1160,80,86650,18500,22740,78670,42430,47930,44710,41020,48980,27940,64650,16850,24170,80170,39120,46800,41750,39810,48960,24400,NA,NA,NA
"1380",2004,"SC",16700,"Charleston-North Charleston, SC",NA,840,NA,420,390,3150,1590,110,NA,NA,46300,18260,16180,72480,42160,40200,39170,33880,NA,NA,43020,17070,15890,67580,42290,39910,37390,31450,NA,NA,NA,NA,NA
"1381",2004,"SC",17900,"Columbia, SC",170,1410,930,410,360,2790,2470,170,1290,NA,47660,15950,17210,66550,37550,39030,41910,30830,41810,NA,45490,15400,16730,67070,36590,36760,41430,28330,42250,NA,NA,NA,NA
"1382",2004,"SC",22500,"Florence, SC",40,160,NA,70,NA,230,NA,50,430,NA,50150,22410,NA,61960,NA,34190,NA,52590,38110,NA,48150,21210,NA,62670,NA,33770,NA,45460,39440,NA,NA,NA,NA
"1383",2004,"SC",24860,"Greenville-Anderson-Greer, SC",550,950,1300,590,710,2670,4030,160,NA,NA,39440,17140,20470,65170,40910,41250,38420,38080,40350,NA,35400,16380,20890,66300,40830,41550,37630,33460,39940,NA,NA,NA,NA
"1384",2004,"SC",34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,21950,NA,NA,NA,NA,NA,NA,NA,NA,NA,17330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1385",2004,"SC",44940,"Sumter, SC",NA,NA,NA,90,NA,NA,300,NA,NA,NA,NA,21040,NA,63660,36890,NA,41230,NA,NA,NA,NA,21810,NA,61610,36440,NA,40730,NA,NA,NA,NA,NA,NA
"1386",2004,"SD",39660,"Rapid City, SD",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,24040,NA,NA,NA,NA,NA,NA,NA,NA,NA,24150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1387",2004,"SD",43620,"Sioux Falls, SD-MN",50,210,210,NA,NA,NA,600,30,NA,NA,60560,23220,22940,NA,NA,NA,34950,38360,NA,NA,56910,23950,21830,NA,NA,NA,32840,36160,NA,NA,NA,NA,NA
"1388",2004,"TN",16860,"Chattanooga, TN-GA",110,400,450,270,330,1970,1440,80,780,NA,50670,18350,16010,70380,38470,39620,43170,33670,38410,NA,47580,16140,14560,68740,37650,38200,42450,33110,37480,NA,NA,NA,NA
"1389",2004,"TN",17300,"Clarksville, TN-KY",60,520,NA,NA,NA,NA,NA,60,NA,660,45920,15260,NA,NA,NA,NA,NA,28730,NA,51660,35380,14000,NA,NA,NA,NA,NA,22960,NA,54270,NA,NA,NA
"1390",2004,"TN",27180,"Jackson, TN",NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,13670,NA,NA,NA,NA,NA,NA,NA,NA,NA,13200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1391",2004,"TN",28700,"Kingsport-Bristol, TN-VA",100,500,670,320,350,2150,1350,40,850,860,44490,20970,15080,60770,34510,38440,44480,26970,41160,16180,35300,16930,13770,60090,31190,36370,42590,23470,40660,13390,NA,NA,NA
"1392",2004,"TN",28940,"Knoxville, TN",230,1130,830,490,640,3390,1780,240,1750,170,64760,16220,16490,67120,37860,38370,41220,31700,36730,30070,53740,15270,13890,67730,36750,37710,41160,28470,36040,14450,NA,NA,NA
"1393",2004,"TN",32820,"Memphis, TN-MS-AR",290,1000,1680,910,1190,NA,2950,250,3900,220,50440,18680,16360,57540,33850,NA,43930,31600,44140,30880,50910,16350,14120,58180,36840,NA,42970,27840,41410,29860,NA,NA,NA
"1394",2004,"TN",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",NA,2650,1770,780,830,4570,5040,430,2580,310,53660,18430,19400,68780,35890,35780,41250,39610,35100,29330,46600,16760,14670,62430,35420,34910,39370,34160,33910,29340,NA,NA,NA
"1395",2004,"TX",10180,"Abilene, TX",NA,220,NA,NA,NA,NA,NA,NA,NA,90,NA,15740,NA,NA,NA,NA,NA,NA,NA,26080,NA,13800,NA,NA,NA,NA,NA,NA,NA,25490,NA,NA,NA
"1396",2004,"TX",11100,"Amarillo, TX",NA,NA,NA,NA,50,NA,NA,40,NA,NA,NA,NA,NA,NA,33190,NA,NA,42550,NA,19470,NA,NA,NA,NA,32850,NA,NA,46080,NA,18500,NA,NA,NA
"1397",2004,"TX",12420,"Austin-Round Rock-San Marcos, TX",480,1430,1480,870,990,7040,4260,NA,3660,NA,52690,27730,23770,65800,41960,41900,42930,35860,41050,NA,48870,23000,25030,65260,40560,40610,42540,34640,40160,NA,NA,NA,NA
"1398",2004,"TX",13140,"Beaumont-Port Arthur, TX",NA,330,610,290,280,1900,1350,NA,1060,930,46610,21240,17670,60730,36560,39960,42190,NA,40930,19690,40520,16380,16480,61780,35490,39470,41710,NA,40010,19680,NA,NA,NA
"1399",2004,"TX",26420,"Houston-Pasadena-The Woodlands, TX",850,5140,7420,3470,2460,28150,16860,1190,14500,13660,62230,67080,56310,194170,82870,86470,91520,60220,87800,37510,55120,53220,53650,194750,83260,85710,89290,61450,86420,35640,NA,NA,NA
"1400",2004,"TX",15180,"Brownsville-Harlingen, TX",NA,350,800,260,370,2180,900,70,1480,NA,NA,27750,15660,63250,41010,40040,43630,34450,40750,NA,NA,29430,14410,63870,40570,38920,43140,23560,40350,NA,NA,NA,NA
"1401",2004,"TX",17780,"College Station-Bryan, TX",60,80,220,NA,NA,NA,NA,40,NA,80,49840,26420,15840,NA,NA,NA,NA,29460,NA,22970,47050,22710,14270,NA,NA,NA,NA,30140,NA,19640,NA,NA,NA
"1402",2004,"TX",18580,"Corpus Christi, TX",130,460,530,310,330,1900,NA,80,600,NA,50870,23540,19870,59280,39600,40010,NA,28820,40890,NA,48640,18820,20350,57510,40150,40510,NA,26060,40440,NA,NA,NA,NA
"1403",2004,"TX",19100,"Dallas-Fort Worth-Arlington, TX",630,4320,2660,2720,1870,19930,13200,440,11340,11430,54200,22200,20140,67290,42970,43990,46430,38900,45420,22650,49880,18710,19420,66530,42180,42720,44480,33980,43450,19290,NA,NA,NA
"1404",2004,"TX",21340,"El Paso, TX",60,NA,1690,NA,NA,NA,NA,100,NA,NA,56730,NA,16840,NA,NA,NA,NA,24830,NA,NA,49330,NA,15550,NA,NA,NA,NA,21230,NA,NA,NA,NA,NA
"1405",2004,"TX",24180,"Granbury, TX",350,2490,2300,1280,810,9660,6400,550,4860,NA,58590,22770,21510,68260,41090,42370,47800,31130,45870,NA,63400,18690,21200,64240,41360,41990,44580,25750,42850,NA,NA,NA,NA
"1406",2004,"TX",28660,"Killeen-Temple, TX",NA,390,480,290,180,NA,1360,70,1190,NA,NA,18210,18060,61260,29690,NA,42710,26710,39760,NA,NA,16120,18210,60280,31870,NA,41720,23650,39360,NA,NA,NA,NA
"1407",2004,"TX",29700,"Laredo, TX",40,100,NA,NA,NA,NA,NA,NA,NA,NA,35450,23400,NA,NA,NA,NA,NA,NA,NA,NA,27780,15180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1408",2004,"TX",30980,"Longview, TX",40,270,330,160,200,1140,1010,60,790,280,53670,19340,17250,58490,36380,36720,38980,31470,36280,17500,50350,15880,15650,57940,36610,36940,39380,24390,36680,14370,NA,NA,NA
"1409",2004,"TX",31180,"Lubbock, TX",NA,230,140,NA,NA,NA,980,90,690,190,NA,20100,18520,NA,NA,NA,40470,32800,36940,18270,NA,14980,17070,NA,NA,NA,40300,35360,36250,17810,NA,NA,NA
"1410",2004,"TX",32580,"McAllen-Edinburg-Mission, TX",60,510,1290,480,550,4990,3050,NA,2370,1880,54250,32660,18500,65690,40510,40430,42900,29910,41630,16870,51710,32430,18380,66510,38950,38860,42570,28300,40800,15650,NA,NA,NA
"1411",2004,"TX",36220,"Odessa, TX",NA,290,NA,NA,NA,NA,NA,30,NA,NA,NA,22370,NA,NA,NA,NA,NA,29240,NA,NA,NA,18260,NA,NA,NA,NA,NA,26760,NA,NA,NA,NA,NA
"1412",2004,"TX",41660,"San Angelo, TX",NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,15650,NA,NA,NA,NA,NA,NA,NA,NA,NA,13570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1413",2004,"TX",41700,"San Antonio-New Braunfels, TX",390,1370,2090,900,1130,9820,6010,280,5390,6770,52770,22190,21990,67460,41850,43800,46360,33820,44470,20090,49350,17720,21570,67660,41660,42740,44760,33320,43390,19460,NA,NA,NA
"1414",2004,"TX",43300,"Sherman-Denison, TX",NA,130,140,90,70,540,480,NA,380,NA,NA,19030,18470,62180,37950,38450,41370,NA,39200,NA,NA,16190,16160,62420,37680,38790,41370,NA,38910,NA,NA,NA,NA
"1415",2004,"TX",45500,"Texarkana, TX-AR",NA,140,350,60,100,540,460,50,410,NA,NA,15930,13090,57680,33690,35220,38500,47690,36460,NA,NA,14490,12850,57440,34650,36370,38880,49890,37130,NA,NA,NA,NA
"1416",2004,"TX",46340,"Tyler, TX",NA,260,240,120,NA,NA,630,NA,530,NA,NA,15530,16990,48860,NA,NA,34920,NA,33030,NA,NA,15810,13820,49870,NA,NA,34710,NA,32730,NA,NA,NA,NA
"1417",2004,"TX",47020,"Victoria, TX",NA,170,NA,NA,NA,NA,NA,NA,NA,60,NA,13150,NA,NA,NA,NA,NA,NA,NA,18650,NA,12940,NA,NA,NA,NA,NA,NA,NA,14500,NA,NA,NA
"1418",2004,"TX",47380,"Waco, TX",100,NA,330,180,230,1100,850,NA,630,610,54320,NA,23810,57710,35710,36310,38770,28930,36930,15890,46030,NA,23770,58030,35970,35890,39260,27010,37260,15980,NA,NA,NA
"1419",2004,"TX",48660,"Wichita Falls, TX",70,NA,NA,60,NA,NA,450,NA,370,NA,48190,NA,18550,58400,38630,38990,40080,NA,40040,NA,40960,NA,16760,57970,38420,39230,39980,NA,39930,NA,NA,NA,NA
"1420",2004,"UT",39340,"Provo-Orem-Lehi, UT",150,190,530,270,220,1970,1210,30,1020,1090,56230,18030,24110,74010,48570,36250,40390,33280,38160,20210,51040,17250,22840,70180,46760,36170,41150,28580,39480,20300,NA,NA,NA
"1421",2004,"UT",36260,"Ogden, UT",590,NA,840,790,450,7320,3090,220,2170,1290,55800,18250,19560,67610,34140,41180,41190,43500,41050,23560,45100,17340,18040,68050,37290,40800,41780,36200,41540,20940,NA,NA,NA
"1422",2004,"VA",16820,"Charlottesville, VA",50,180,300,150,NA,400,720,NA,540,NA,56420,22470,25930,61330,45810,39010,46200,NA,33930,36420,44510,21490,22920,58210,44130,39010,42950,NA,35070,24450,NA,NA,NA
"1423",2004,"VA",19260,"Danville, VA",NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,19830,NA,NA,NA,NA,NA,NA,NA,NA,NA,14700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1424",2004,"VA",31340,"Lynchburg, VA",60,210,730,140,150,1020,690,NA,560,NA,55960,19300,18690,65810,37860,40050,44980,NA,39670,NA,44410,13980,17960,67380,36070,37040,41570,NA,38220,NA,NA,NA,NA
"1425",2004,"VA",47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",480,2580,3650,1270,1260,7720,5770,290,4380,3940,68300,19660,19810,65970,41880,48780,50840,36910,48150,23920,61240,17050,19530,66460,39090,48510,49290,30340,48040,18170,NA,NA,NA
"1426",2004,"VA",40060,"Richmond, VA",480,1580,2240,800,NA,4200,4290,180,2350,NA,54950,25760,24620,71460,NA,46160,47810,36450,46570,NA,52830,20090,23820,72820,NA,45470,45730,31570,45700,NA,NA,NA,NA
"1427",2004,"VA",40220,"Roanoke, VA",40,430,530,160,NA,1290,770,30,660,NA,61260,22680,23560,69370,NA,47840,49850,33280,50650,NA,52190,19560,22650,70450,NA,49670,51050,27580,51880,NA,NA,NA,NA
"1428",2004,"WA",13380,"Bellingham, WA",NA,70,280,100,70,730,480,NA,370,390,41860,24490,31780,78790,42840,43140,43450,NA,42160,29640,39070,21860,32410,80660,42510,44430,44240,NA,42050,29120,NA,NA,NA
"1429",2004,"WA",14740,"Bremerton-Silverdale-Port Orchard, WA",60,80,380,170,170,950,610,NA,550,650,54160,32620,31720,79470,43890,45700,43510,NA,44680,30200,52320,32260,32550,82450,45270,48020,44390,NA,46760,29520,NA,NA,NA
"1430",2004,"WA",36500,"Olympia-Lacey-Tumwater, WA",70,NA,400,180,120,960,560,NA,620,820,52820,26200,30200,78290,39980,44340,43740,NA,43850,33230,51230,23880,31260,81240,40360,46080,44480,NA,44760,29390,NA,NA,NA
"1431",2004,"WA",28420,"Kennewick-Richland, WA",NA,130,410,150,80,850,520,NA,590,740,NA,24660,30420,76690,43550,45330,45460,NA,45710,31730,NA,23340,31320,80840,43060,47000,47310,NA,46760,28670,NA,NA,NA
"1432",2004,"WA",36020,"Oak Harbor, WA",840,2770,2750,1190,1060,8470,4640,300,4910,6280,54190,23680,31860,82140,40920,42700,44580,54230,42860,33930,50760,22180,32110,83960,40430,41940,43430,52870,42130,33390,NA,NA,NA
"1433",2004,"WA",44060,"Spokane-Spokane Valley, WA",210,320,580,250,260,1580,960,30,1030,1250,52380,26320,25950,86590,39380,44800,44000,51910,44310,30010,53570,25430,25190,87700,39500,45990,44790,51000,44670,29130,NA,NA,NA
"1434",2004,"WA",42660,"Seattle-Tacoma-Bellevue, WA",410,710,1010,450,280,3090,1540,60,1510,1840,77770,26600,30120,87870,44860,46210,47640,47920,45260,32170,70630,25500,31030,87670,45050,47210,48570,48570,45200,29060,NA,NA,NA
"1435",2004,"WA",49420,"Yakima, WA",60,340,430,200,120,1140,610,NA,580,770,55960,22090,29550,77990,42180,43040,43930,NA,43380,33810,54370,20900,30350,80820,42550,44020,46130,NA,44120,33920,NA,NA,NA
"1436",2004,"WI",11540,"Appleton, WI",190,420,580,180,270,1370,1550,60,880,180,55580,22100,26260,76300,40460,42230,43550,36520,43320,25480,52020,19570,21640,76750,40180,41950,42310,32040,42280,22920,NA,NA,NA
"1437",2004,"WI",20740,"Eau Claire, WI",40,150,310,80,NA,780,520,NA,470,130,62700,18360,23920,74170,NA,43740,43880,NA,46140,24790,62510,17200,24030,73690,NA,45070,44170,NA,48030,24540,NA,NA,NA
"1438",2004,"WI",24580,"Green Bay, WI",70,620,NA,130,260,1060,910,50,800,NA,69880,19090,NA,104150,36870,42110,43880,40170,42550,NA,57210,18960,NA,80700,33580,41750,43560,34330,41010,NA,NA,NA,NA
"1439",2004,"WI",27500,"Janesville-Beloit, WI",60,170,200,160,NA,900,570,NA,400,250,60520,17220,22290,72770,NA,39420,42150,NA,40960,28280,53490,16930,21140,72780,NA,38660,42010,NA,40770,27790,NA,NA,NA
"1440",2004,"WI",28450,"Kenosha, WI",NA,110,190,140,110,1030,NA,NA,600,160,NA,20780,26070,78380,40300,39590,NA,NA,42630,27690,NA,20020,25150,78510,39710,39370,NA,NA,43230,27350,NA,NA,NA
"1441",2004,"WI",29100,"La Crosse-Onalaska, WI-MN",70,140,420,90,100,680,650,NA,190,NA,49120,20310,25690,73440,37990,39380,42130,NA,37540,NA,49480,18810,25660,73110,36110,39730,42520,NA,35340,NA,NA,NA,NA
"1442",2004,"WI",31540,"Madison, WI",450,910,520,340,180,1480,1440,120,1350,NA,56490,23780,26440,75930,41340,41080,43330,38890,44800,NA,59350,21900,26450,76800,41500,40220,41390,36370,42660,NA,NA,NA,NA
"1443",2004,"WI",33340,"Milwaukee-Waukesha, WI",600,2190,2760,980,560,8690,5650,320,3150,2710,67500,21870,22710,86830,40050,45580,49430,38120,43690,31790,59470,21000,22930,86540,39520,45740,49900,28690,42990,31530,NA,NA,NA
"1444",2004,"WI",39540,"Racine-Mount Pleasant, WI",60,350,350,120,NA,530,1090,40,400,420,NA,20620,21350,75140,38940,39180,44390,34690,42170,30600,NA,19030,21050,75050,35800,38490,44830,28120,41910,31990,NA,NA,NA
"1445",2004,"WI",43100,"Sheboygan, WI",30,60,170,80,70,720,440,NA,290,NA,58400,19170,25100,68700,42680,43890,47020,NA,44910,30790,62510,19470,23880,71620,42210,43230,47800,NA,44690,31510,NA,NA,NA
"1446",2004,"WI",48140,"Wausau, WI",40,140,110,60,80,510,430,NA,360,NA,53970,21800,28430,70750,39840,45580,46550,NA,42460,NA,52510,19850,26210,69720,36120,45740,47480,NA,41410,NA,NA,NA,NA
"1447",2004,"WV",16620,"Charleston, WV",90,140,NA,230,180,850,630,NA,540,80,45190,17070,NA,61480,40880,41840,41860,NA,41600,30530,40280,14360,NA,63540,41350,41950,41850,NA,42260,26590,NA,NA,NA
"1448",2004,"WV",26580,"Huntington-Ashland, WV-KY-OH",70,290,680,300,200,1490,920,50,630,430,48520,18970,20370,57400,38910,38650,39620,40190,39170,26470,47040,14580,20120,58000,39230,39300,40060,37480,39770,22870,NA,NA,NA
"1449",2004,"WV",31930,"Marietta, OH",NA,60,NA,NA,NA,NA,NA,NA,NA,60,38820,17170,NA,NA,NA,NA,NA,NA,NA,39450,37520,15920,NA,NA,NA,NA,NA,NA,NA,38200,NA,NA,NA
"1450",2004,"WV",48540,"Wheeling, WV-OH",30,70,NA,120,100,650,600,NA,240,80,66470,18360,NA,59960,41890,44150,41480,NA,42850,40290,52160,17260,NA,61800,43730,44750,41270,NA,43090,42570,NA,NA,NA
"1451",2004,"WY",16220,"Casper, WY",NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,20760,NA,NA,NA,NA,NA,NA,NA,NA,NA,20780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1452",2004,"WY",16940,"Cheyenne, WY",40,NA,170,NA,NA,NA,NA,NA,NA,NA,54950,NA,19610,NA,NA,NA,NA,NA,NA,NA,54440,NA,19750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1453",2006,"AL",18980,"Cullman, AL",NA,80,340,160,130,1110,1000,NA,220,NA,NA,19700,13060,62300,39050,38840,39310,NA,38040,NA,NA,17400,13100,64310,40120,39050,39340,NA,38640,NA,NA,NA,NA
"1454",2006,"AL",29300,"LaGrange, GA-AL",40,150,930,320,260,1540,NA,NA,1170,NA,48730,25340,14890,68900,38580,38220,38240,NA,40030,NA,45180,26910,13420,69670,38310,37970,37360,NA,40570,NA,NA,NA,NA
"1455",2006,"AL",42820,"Selma, AL",NA,200,1470,280,300,1980,1010,NA,1250,NA,NA,26820,12890,61890,38810,38930,39180,34080,39140,NA,NA,30270,13080,61320,39260,39690,39690,26660,39230,NA,NA,NA,NA
"1456",2006,"AL",21640,"Eufaula, AL-GA",NA,120,480,170,220,1220,890,NA,150,NA,NA,32130,15860,67730,42270,40020,41220,NA,39520,NA,NA,32120,13450,67570,42100,39590,41310,NA,39070,NA,NA,NA,NA
"1457",2006,"AR",34260,"Mountain Home, AR",NA,40,530,190,200,1160,930,NA,590,NA,NA,24130,18520,64390,37450,37160,38720,NA,38900,NA,NA,21870,17590,64600,37280,37070,38070,NA,38770,NA,NA,NA,NA
"1458",2006,"AR",37500,"Paragould, AR",50,260,810,310,370,1840,1370,60,580,NA,63060,20980,17870,59560,36390,35710,40410,46040,39960,NA,55110,17620,17560,60300,36410,36350,39570,42190,39460,NA,NA,NA,NA
"1459",2006,"AR",11660,"Arkadelphia, AR",40,280,1000,340,410,2060,1600,50,850,NA,49300,25180,16320,60240,35630,35600,36540,38480,37840,NA,46680,27000,14240,59520,35540,35430,36160,36950,37450,NA,NA,NA,NA
"1460",2006,"AR",15780,"Camden, AR",NA,370,450,150,150,860,780,NA,500,NA,NA,19390,16930,62030,36260,36220,37410,44130,36540,NA,NA,18110,15030,62430,36650,36210,37810,43860,36750,NA,NA,NA,NA
"1461",2006,"AZ",37740,"Payson, AZ",30,NA,220,120,60,1300,190,40,210,NA,43260,17720,19840,62390,33630,33310,37380,NA,35210,NA,39480,17090,20240,61390,32430,33490,36560,NA,34230,NA,NA,NA,NA
"1462",2006,"CA",18860,"Crescent City, CA",140,370,300,230,190,1270,970,100,950,NA,103610,27360,31310,89620,49770,52400,53790,32380,56890,NA,72920,24650,30760,86010,51110,53150,53460,32240,56220,NA,NA,NA,NA
"1463",2006,"CO",10480,"Alamosa, CO",40,NA,400,230,150,1320,790,NA,560,NA,51590,25270,26000,59960,35910,36900,37130,NA,36610,NA,44960,25560,24910,60220,35500,36480,36140,NA,36090,NA,NA,NA,NA
"1464",2006,"CO",15860,"Cañon City, CO",40,190,400,240,140,1280,1010,40,750,NA,67040,25360,27830,64530,40730,40780,40390,35980,40460,NA,65080,24040,27930,63670,40400,40300,39310,32620,39940,NA,NA,NA,NA
"1465",2006,"CO",20780,"Edwards, CO",NA,320,160,100,80,590,320,NA,310,NA,NA,32440,32950,75440,46180,50310,49970,41240,48870,NA,NA,28570,33490,77760,46270,49540,47760,38610,47400,NA,NA,NA,NA
"1466",2006,"CT",39480,"Putnam, CT",50,150,NA,130,60,750,630,NA,380,NA,78120,24100,NA,92740,55070,55600,55810,NA,56110,NA,68840,22170,NA,92980,58820,56530,56110,NA,58190,NA,NA,NA,NA
"1467",2006,"FL",11580,"Arcadia, FL",50,400,430,160,130,1300,780,NA,610,NA,54400,24610,22020,67910,41310,42380,42780,NA,43070,NA,51920,22010,21480,68250,39870,40670,40960,NA,41410,NA,NA,NA,NA
"1468",2006,"GA",44900,"Summerville, GA",NA,430,1050,340,320,2430,810,NA,1740,NA,61180,NA,13530,73440,48210,46500,48980,41980,46520,NA,57780,NA,13120,73430,47150,46350,48710,32130,46740,NA,NA,NA,NA
"1469",2006,"GA",33300,"Milledgeville, GA",60,440,650,310,300,2140,1050,60,1340,NA,66630,NA,19210,77850,46900,48590,50430,38000,46390,NA,65830,NA,19410,78980,46450,48970,51420,32850,46170,NA,NA,NA,NA
"1470",2006,"GA",44340,"Statesboro, GA",40,NA,430,250,360,1740,610,40,880,NA,59270,NA,15620,70420,46260,42660,47550,27240,46940,NA,59860,NA,13680,70830,45120,42760,47020,26740,46380,NA,NA,NA,NA
"1471",2006,"GA",20060,"Douglas, GA",60,620,450,480,420,3080,2350,NA,2270,NA,63960,NA,15590,74510,44920,45760,50400,NA,46940,NA,63950,NA,13560,75150,45010,44930,51030,NA,46110,NA,NA,NA,NA
"1472",2006,"HI",25900,"Hilo-Kailua, HI",140,820,540,600,270,3650,2860,100,1170,NA,52360,28080,28520,74240,34550,43770,47330,35240,41610,NA,50070,24080,30210,67050,34810,43760,46700,33000,38070,NA,NA,NA,NA
"1473",2006,"IA",32380,"Mason City, IA",60,230,420,200,120,1850,1110,NA,690,NA,52970,19930,23960,67250,34370,33480,33770,NA,34460,NA,45440,18520,23300,66550,33460,34450,34310,NA,35910,NA,NA,NA,NA
"1474",2006,"IA",44740,"Storm Lake, IA",60,330,610,280,190,2510,1450,50,1270,NA,48710,20600,25960,69590,35700,34400,36470,44050,37610,NA,48280,18890,25400,68880,36610,33460,36160,37760,38530,NA,NA,NA,NA
"1475",2006,"IA",16140,"Carroll, IA",40,90,480,160,80,1260,1010,NA,980,NA,54090,20720,26320,72640,35170,36420,35460,NA,38390,NA,51840,18070,27530,71190,35520,36740,34820,NA,38080,NA,NA,NA,NA
"1476",2006,"IA",17540,"Clinton, IA",120,380,1050,380,270,4030,NA,NA,1270,NA,57180,22430,20780,66390,33750,37120,37350,30260,35490,NA,48650,23940,17970,68070,33770,37240,36210,28340,34740,NA,NA,NA,NA
"1477",2006,"IL",36837,"Ottawa, IL",100,320,630,440,230,2730,1960,40,820,NA,53610,23630,24330,75380,40300,46590,44260,49750,44580,NA,57390,18940,24030,71770,40290,44300,42770,32140,42920,NA,NA,NA,NA
"1478",2006,"IL",39500,"Quincy, IL-MO",200,450,1070,580,240,2980,2670,50,1090,NA,50970,22910,25570,76940,42090,43090,42990,41370,41260,NA,50330,19830,22850,71600,42140,42130,41060,32170,39860,NA,NA,NA,NA
"1479",2006,"IL",16660,"Charleston-Mattoon, IL",60,280,850,270,140,1490,1510,40,810,NA,50290,22440,22580,72850,37960,45490,45840,46850,45620,NA,51090,17490,20960,70930,37910,41550,41230,41170,40400,NA,NA,NA,NA
