CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,smape_model
10100,1,2017,630.9998779296875,513.0446166992188,408.0,117.95526123046875,222.9998779296875,20.620747144576555
10100,2,2018,501.0000915527344,502.3653869628906,408.0,1.36529541015625,93.00009155273438,0.27214318996951253
10100,3,2019,284.99993896484375,499.4010009765625,408.0,214.40106201171875,123.00006103515625,54.66619201782214
10140,1,2017,554.0001220703125,597.918701171875,653.0,43.9185791015625,98.9998779296875,7.625290639416436
10140,2,2018,357.99993896484375,582.8600463867188,653.0,224.860107421875,295.00006103515625,47.79884593252494
10140,3,2019,485.00006103515625,578.2581176757812,653.0,93.258056640625,167.99993896484375,17.54194014342052
10180,1,2017,2558.00048828125,2296.55810546875,2032.0,261.4423828125,526.00048828125,10.771005345308032
10180,2,2018,1769.000244140625,2241.147705078125,2032.0,472.1474609375,262.999755859375,23.547633000837568
10180,3,2019,1905.9998779296875,2189.7880859375,2032.0,283.7882080078125,126.0001220703125,13.857563453512894
10220,1,2017,469.00006103515625,320.531982421875,540.0,148.46807861328125,70.99993896484375,37.6091331167057
10220,2,2018,376.0000305175781,314.22308349609375,540.0,61.776947021484375,163.99996948242188,17.900573239674404
10220,3,2019,986.0,312.1408386230469,540.0,673.8591613769531,446.0,103.81911443238046
10300,1,2017,607.0,634.0603637695312,747.0,27.06036376953125,140.0,4.360845702480013
10300,2,2018,494.00006103515625,618.3478393554688,747.0,124.3477783203125,252.99993896484375,22.35771349512634
10300,3,2019,747.0,599.9385986328125,747.0,147.0614013671875,0.0,21.83639276732702
10420,1,2017,12409.001953125,8429.76953125,10247.0,3979.232421875,2162.001953125,38.19066229366482
10420,2,2018,8433.9990234375,8746.23828125,10247.0,312.2392578125,1813.0009765625,3.634865482645296
10420,3,2019,8966.99609375,8643.9501953125,10247.0,323.0458984375,1280.00390625,3.668694380584742
10460,1,2017,934.0000610351562,466.61865234375,477.0,467.38140869140625,457.00006103515625,66.73927803813794
10460,2,2018,359.0000305175781,467.06683349609375,477.0,108.06680297851562,117.99996948242188,26.164178151907773
10460,3,2019,497.99993896484375,457.01312255859375,477.0,40.98681640625,20.99993896484375,8.583509075873502
10480,1,2017,444.00006103515625,281.4881896972656,332.0,162.51187133789062,112.00006103515625,44.80069006536924
10480,2,2018,166.99996948242188,272.7548828125,332.0,105.75491333007812,165.00003051757812,48.09721269738198
10480,3,2019,207.00003051757812,278.2451477050781,332.0,71.2451171875,124.99996948242188,29.364585320347366
10500,1,2017,1495.0,1994.6104736328125,1955.0,499.6104736328125,460.0,28.634168621764136
10500,2,2018,1438.0,1993.34912109375,1955.0,555.34912109375,517.0,32.369141203277664
10500,3,2019,1632.9996337890625,1871.9744873046875,1955.0,238.974853515625,322.0003662109375,13.636326275662745
10540,1,2017,767.0,1074.1680908203125,1327.0,307.1680908203125,560.0,33.36665374010352
10540,2,2018,842.0001220703125,1005.4480590820312,1327.0,163.44793701171875,484.9998779296875,17.694454294126242
10540,3,2019,1151.0,980.2158813476562,1327.0,170.78411865234375,176.0,16.02691873181318
10580,1,2017,12032.005859375,12761.013671875,11674.0,729.0078125,358.005859375,5.880750519966628
10580,2,2018,13088.0,12313.54296875,11674.0,774.45703125,1414.0,6.0977164434653695
10580,3,2019,13717.9990234375,12454.021484375,11674.0,1263.9775390625,2043.9990234375,9.658998537653693
10620,1,2017,827.9999389648438,501.2943420410156,849.0,326.7055969238281,21.00006103515625,49.15474347398179
10620,2,2018,499.00006103515625,514.4129638671875,849.0,15.41290283203125,349.99993896484375,3.0417810809890478
10620,3,2019,616.0,488.4256286621094,849.0,127.57437133789062,233.0,23.102392415735206
10660,1,2017,208.99996948242188,268.0233154296875,410.0,59.023345947265625,201.00003051757812,24.746526139453856
10660,2,2018,404.00006103515625,263.49822998046875,410.0,140.5018310546875,5.99993896484375,42.09803468973786
10660,3,2019,224.00003051757812,266.9545593261719,410.0,42.95452880859375,185.99996948242188,17.498371416138276
10700,1,2017,741.9998779296875,687.3972778320312,744.0,54.60260009765625,2.0001220703125,7.639948054629618
10700,2,2018,850.0001220703125,660.0491943359375,744.0,189.950927734375,106.0001220703125,25.15824161096662
10700,3,2019,785.9999389648438,656.2950439453125,744.0,129.70489501953125,41.99993896484375,17.98590393165246
10740,1,2017,10502.00390625,12907.55859375,12815.0,2405.5546875,2312.99609375,20.551897862243024
10740,2,2018,11646.994140625,12629.099609375,12815.0,982.10546875,1168.005859375,8.091132608594375
10740,3,2019,11562.0048828125,12357.662109375,12815.0,795.6572265625,1252.9951171875,6.652745013733178
10760,1,2017,199.00001525878906,319.7337341308594,261.0,120.73371887207031,61.99998474121094,46.549398033885524
10760,2,2018,228.0,318.4252624511719,261.0,90.42526245117188,33.0,33.09702850995011
10760,3,2019,451.9999084472656,307.62213134765625,261.0,144.37777709960938,190.99990844726562,38.01305637121507
10780,1,2017,1345.000244140625,1650.7840576171875,1237.0,305.7838134765625,108.000244140625,20.414274371897836
10780,2,2018,1507.0001220703125,1634.4105224609375,1237.0,127.410400390625,270.0001220703125,8.111667961144962
10780,3,2019,1816.9998779296875,1565.3397216796875,1237.0,251.66015625,579.9998779296875,14.880833153378218
10820,1,2017,512.0,482.0899963378906,517.0,29.910003662109375,5.0,6.017564560953916
10820,2,2018,254.00001525878906,485.359375,517.0,231.35935974121094,262.99998474121094,62.58373472665352
10820,3,2019,219.00003051757812,470.17791748046875,517.0,251.17788696289062,297.9999694824219,72.89202670772566
10860,1,2017,313.0,763.21142578125,433.0,450.21142578125,120.0,83.66598142186541
