CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,smape_model
10100,1,2017,630.9998779296875,604.1362915039062,408.0,26.86358642578125,222.9998779296875,4.349898754545065
10100,2,2018,501.0000915527344,594.3228759765625,408.0,93.32278442382812,93.00009155273438,17.040231454925642
10100,3,2019,284.99993896484375,566.3837280273438,408.0,281.3837890625,123.00006103515625,66.10034934150951
10140,1,2017,554.0001220703125,699.2222900390625,653.0,145.22216796875,98.9998779296875,23.175801288641008
10140,2,2018,357.99993896484375,684.8217163085938,653.0,326.82177734375,295.00006103515625,62.68028203823986
10140,3,2019,485.00006103515625,665.7147216796875,653.0,180.71466064453125,167.99993896484375,31.4091142927019
10180,1,2017,2558.00048828125,2026.8072509765625,2032.0,531.1932373046875,526.00048828125,23.171887133025926
10180,2,2018,1769.000244140625,2003.65283203125,2032.0,234.652587890625,262.999755859375,12.43965894304312
10180,3,2019,1905.9998779296875,1922.3052978515625,2032.0,16.305419921875,126.0001220703125,0.8518349072578797
10220,1,2017,469.00006103515625,444.0007019042969,540.0,24.999359130859375,70.99993896484375,5.4763062957579205
10220,2,2018,376.0000305175781,429.0540771484375,540.0,53.054046630859375,163.99996948242188,13.180243694181693
10220,3,2019,986.0,415.7422180175781,540.0,570.2577819824219,446.0,81.36414451222622
10300,1,2017,607.0,741.1090087890625,747.0,134.1090087890625,140.0,19.895870128266704
10300,2,2018,494.00006103515625,728.7520141601562,747.0,234.751953125,252.99993896484375,38.397310114658
10300,3,2019,747.0,701.7879028320312,747.0,45.21209716796875,0.0,6.24136867505284
10420,1,2017,12409.001953125,9687.5166015625,10247.0,2721.4853515625,2162.001953125,24.63270713733263
10420,2,2018,8433.9990234375,9444.552734375,10247.0,1010.5537109375,1813.0009765625,11.304648437145888
10420,3,2019,8966.99609375,9234.5859375,10247.0,267.58984375,1280.00390625,2.940292149225626
10460,1,2017,934.0000610351562,635.3529052734375,477.0,298.64715576171875,457.00006103515625,38.05990904165921
10460,2,2018,359.0000305175781,608.76318359375,477.0,249.76315307617188,117.99996948242188,51.616583360825935
10460,3,2019,497.99993896484375,573.260498046875,477.0,75.26055908203125,20.99993896484375,14.050842630064462
10480,1,2017,444.00006103515625,255.0107421875,332.0,188.98931884765625,112.00006103515625,54.073361376863794
10480,2,2018,166.99996948242188,252.22125244140625,332.0,85.22128295898438,165.00003051757812,40.656950793600856
10480,3,2019,207.00003051757812,237.5701141357422,332.0,30.570083618164062,124.99996948242188,13.752648028722328
10500,1,2017,1495.0,1715.456298828125,1955.0,220.456298828125,460.0,13.733642716638684
10500,2,2018,1438.0,1640.938232421875,1955.0,202.938232421875,517.0,13.182351648645179
10500,3,2019,1632.9996337890625,1610.6004638671875,1955.0,22.399169921875,322.0003662109375,1.3811301792715485
10540,1,2017,767.0,1272.509033203125,1327.0,505.509033203125,560.0,49.57163954373133
10540,2,2018,842.0001220703125,1238.8243408203125,1327.0,396.82421875,484.9998779296875,38.141056665283095
10540,3,2019,1151.0,1222.068359375,1327.0,71.068359375,176.0,5.989575402995803
10580,1,2017,12032.005859375,9826.9677734375,11674.0,2205.0380859375,358.005859375,20.17512919844058
10580,2,2018,13088.0,9581.23828125,11674.0,3506.76171875,1414.0,30.938505081125182
10580,3,2019,13717.9990234375,9355.775390625,11674.0,4362.2236328125,2043.9990234375,37.811097174912284
10620,1,2017,827.9999389648438,592.0859375,849.0,235.91400146484375,21.00006103515625,33.22531480285768
10620,2,2018,499.00006103515625,569.2783813476562,849.0,70.2783203125,349.99993896484375,13.157303849562892
10620,3,2019,616.0,548.5326538085938,849.0,67.46734619140625,233.0,11.5870252277041
10660,1,2017,208.99996948242188,308.65325927734375,410.0,99.65328979492188,201.00003051757812,38.50194850778927
10660,2,2018,404.00006103515625,303.3883056640625,410.0,100.61175537109375,5.99993896484375,28.445973981489445
10660,3,2019,224.00003051757812,289.0981750488281,410.0,65.09814453125,185.99996948242188,25.37453603374808
10700,1,2017,741.9998779296875,1085.602783203125,744.0,343.6029052734375,2.0001220703125,37.601488833309126
10700,2,2018,850.0001220703125,1090.4383544921875,744.0,240.438232421875,106.0001220703125,24.781845477170076
10700,3,2019,785.9999389648438,1042.963134765625,744.0,256.96319580078125,41.99993896484375,28.09933119920873
10740,1,2017,10502.00390625,13423.453125,12815.0,2921.44921875,2312.99609375,24.42126154524828
10740,2,2018,11646.994140625,13120.2451171875,12815.0,1473.2509765625,1168.005859375,11.896771870503795
10740,3,2019,11562.0048828125,12793.61328125,12815.0,1231.6083984375,1252.9951171875,10.113546616971293
10760,1,2017,199.00001525878906,414.8644104003906,261.0,215.86439514160156,61.99998474121094,70.329664373786
10760,2,2018,228.0,409.9729919433594,261.0,181.97299194335938,33.0,57.047240005001015
10760,3,2019,451.9999084472656,389.0287170410156,261.0,62.97119140625,190.99990844726562,14.974803353201368
10780,1,2017,1345.000244140625,2205.22998046875,1237.0,860.229736328125,108.000244140625,48.46050435618447
10780,2,2018,1507.0001220703125,2142.962646484375,1237.0,635.9625244140625,270.0001220703125,34.847617071126926
10780,3,2019,1816.9998779296875,2100.739990234375,1237.0,283.7401123046875,579.9998779296875,14.48488781042678
10820,1,2017,512.0,554.7813720703125,517.0,42.7813720703125,5.0,8.020644752520429
10820,2,2018,254.00001525878906,536.5904541015625,517.0,282.59043884277344,262.99998474121094,71.48845066848236
10820,3,2019,219.00003051757812,519.2339477539062,517.0,300.2339172363281,297.9999694824219,81.33841737689582
10860,1,2017,313.0,728.49560546875,433.0,415.49560546875,120.0,79.78825897738798
