CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,mape_model
10100,1,2017,51652.234375,48072.48828125,53124.87125,3579.74609375,1472.6368749999965,6.9304767490999755
10100,2,2018,54317.15625,49002.68359375,53124.87125,5314.47265625,1192.2850000000035,9.784151128585638
10100,3,2019,54190.0,49723.61328125,53124.87125,4466.38671875,1065.1287500000035,8.242086581933936
10140,1,2017,39149.953125,35287.65234375,38393.355,3862.30078125,756.5981249999968,9.865403335013571
10140,2,2018,39713.4375,36017.70703125,38393.355,3695.73046875,1320.0824999999968,9.305994900970232
10140,3,2019,40470.0,36744.6015625,38393.355,3725.3984375,2076.644999999997,9.205333425994564
10180,1,2017,42102.34375,38468.45703125,41700.40833333333,3633.88671875,401.93541666666715,8.631079401013157
10180,2,2018,43536.2109375,39136.3203125,41700.40833333333,4399.890625,1835.8026041666672,10.106278268718478
10180,3,2019,45049.0,39454.0390625,41700.40833333333,5594.9609375,3348.591666666667,12.419722829585563
10220,1,2017,42772.109375,39068.8125,41797.36125,3703.296875,974.7481249999983,8.658204912298647
10220,2,2018,43676.73828125,39629.515625,41797.36125,4047.22265625,1879.3770312499983,9.266311578004059
10220,3,2019,45106.0,40330.20703125,41797.36125,4775.79296875,3308.6387499999983,10.587932799960093
10300,1,2017,38631.4609375,35694.77734375,38875.98875,2936.68359375,244.5278124999968,7.601792742193004
10300,2,2018,39636.046875,35806.625,38875.98875,3829.421875,760.0581250000032,9.661462675823419
10300,3,2019,40119.0,36246.75390625,38875.98875,3872.24609375,1243.0112500000032,9.651900829407513
10420,1,2017,49208.94921875,44590.30078125,48442.365,4618.6484375,766.584218750002,9.385789598897114
10420,2,2018,49997.4453125,45079.796875,48442.365,4917.6484375,1555.080312500002,9.835799422876763
10420,3,2019,50915.0,45652.8984375,48442.365,5262.1015625,2472.635000000002,10.335071319846802
10460,1,2017,34666.07421875,33473.25390625,35259.964583333334,1192.8203125,593.8903645833343,3.440886628734077
10460,2,2018,35091.28515625,33671.15234375,35259.964583333334,1420.1328125,168.6794270833343,4.046967234675543
10460,3,2019,35102.0,34174.58984375,35259.964583333334,927.41015625,157.9645833333343,2.642043633553644
10500,1,2017,36824.5546875,35319.109375,36691.88458333333,1505.4453125,132.67010416666744,4.0881561916375855
10500,2,2018,36780.6796875,35749.1328125,36691.88458333333,1031.546875,88.79510416666744,2.8045889411624265
10500,3,2019,37905.0,36293.140625,36691.88458333333,1611.859375,1213.1154166666674,4.252366112650046
10540,1,2017,42357.94140625,36765.46484375,41575.754583333335,5592.4765625,782.1868229166648,13.202899803045714
10540,2,2018,43872.25390625,37279.59765625,41575.754583333335,6592.65625,2296.499322916665,15.026937672470062
10540,3,2019,44306.0,37692.66015625,41575.754583333335,6613.33984375,2730.245416666665,14.926510729359455
10580,1,2017,57070.86328125,50141.4921875,55412.32083333333,6929.37109375,1658.5424479166686,12.1416966475546
10580,2,2018,57214.2734375,51093.89453125,55412.32083333333,6120.37890625,1801.9526041666686,10.697293766975488
10580,3,2019,58358.0,51960.38671875,55412.32083333333,6397.61328125,2945.6791666666686,10.962701396980705
10620,1,2017,39213.59375,35101.734375,38479.65375,4111.859375,733.9400000000023,10.485800922033574
10620,2,2018,39412.015625,35262.3515625,38479.65375,4149.6640625,932.3618750000023,10.528931333995937
10620,3,2019,40243.0,35568.32421875,38479.65375,4674.67578125,1763.3462500000023,11.616121514921849
10660,1,2017,44222.22265625,39914.9140625,42764.75958333333,4307.30859375,1457.4630729166674,9.740144965647133
10660,2,2018,44321.33203125,40399.3203125,42764.75958333333,3922.01171875,1556.5724479166674,8.849038462979125
10660,3,2019,44553.0,40956.63671875,42764.75958333333,3596.36328125,1788.2404166666674,8.07210127544722
10700,1,2017,36050.46484375,35384.58984375,35815.04666666667,665.875,235.4181770833311,1.8470635618321063
10700,2,2018,36301.05078125,35736.99609375,35815.04666666667,564.0546875,486.0041145833311,1.5538246837508687
10700,3,2019,37674.0,36248.81640625,35815.04666666667,1425.18359375,1858.953333333331,3.7829367567818655
10740,1,2017,42582.23828125,40165.359375,42682.7225,2416.87890625,100.48421875000349,5.675791136874575
10740,2,2018,42969.00390625,40282.984375,42682.7225,2686.01953125,286.2814062499965,6.251063061900089
10740,3,2019,44616.0,40770.78515625,42682.7225,3845.21484375,1933.2774999999965,8.618466119217322
10760,1,2017,38095.23046875,34595.34765625,38244.19666666667,3499.8828125,148.96619791667035,9.187194222045719
10760,2,2018,38590.23046875,34941.703125,38244.19666666667,3648.52734375,346.03380208332965,9.454536289189935
10760,3,2019,40133.0,35379.91015625,38244.19666666667,4753.08984375,1888.8033333333296,11.843345485635263
10780,1,2017,42042.87890625,41798.13671875,42479.22791666667,244.7421875,436.34901041667035,0.5821251871113354
10780,2,2018,42639.0703125,42551.77734375,42479.22791666667,87.29296875,159.84239583332965,0.2047253096989062
10780,3,2019,43553.0,42851.75,42479.22791666667,701.25,1073.7720833333296,1.6101072256790576
10820,1,2017,51323.61328125,47287.65625,53385.89833333333,4035.95703125,2062.285052083331,7.863742969796812
10820,2,2018,51049.37109375,47713.0546875,53385.89833333333,3336.31640625,2336.527239583331,6.53547014344799
10820,3,2019,51249.0,48427.4140625,53385.89833333333,2821.5859375,2136.898333333331,5.505640963726122
10860,1,2017,41625.58203125,39067.68359375,39970.17166666667,2557.8984375,1655.410364583331,6.145015427242994
10860,2,2018,42148.23828125,39637.59375,39970.17166666667,2510.64453125,2178.066614583331,5.956701000162281
