CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,mape_model,mape_base
10100,1,2017,51652.234375,55062.92578125,53124.87125,3410.69140625,1472.6368749999965,6.603182703554323,2.851061319648307
10100,2,2018,54317.15625,55161.234375,53124.87125,844.078125,1192.2850000000035,1.553980700158331,2.195043117707003
10100,3,2019,54190.0,55850.98828125,53124.87125,1660.98828125,1065.1287500000035,3.0651195446571204,1.965544842221456
10140,1,2017,39149.953125,38529.34765625,38393.355,620.60546875,756.5981249999968,1.5852010518846351,1.9325645744302629
10140,2,2018,39713.4375,39132.921875,38393.355,580.515625,1320.0824999999968,1.4617612111765794,3.324019735132887
10140,3,2019,40470.0,39353.0625,38393.355,1116.9375,2076.644999999997,2.7599147516672202,5.13131949592163
10180,1,2017,42102.34375,43855.484375,41700.40833333333,1753.140625,401.93541666666715,4.163997699058224,0.9546628070238292
10180,2,2018,43536.2109375,44454.21484375,41700.40833333333,918.00390625,1835.8026041666672,2.1085985355217596,4.216725720117672
10180,3,2019,45049.0,44892.08203125,41700.40833333333,156.91796875,3348.591666666667,0.3483273074873253,7.433220863206562
10220,1,2017,42772.109375,43004.20703125,41797.36125,232.09765625,974.7481249999983,0.5426378535953273,2.2789339577661885
10220,2,2018,43676.73828125,43299.99609375,41797.36125,376.7421875,1879.3770312499983,0.8625694187004929,4.3029244060020995
10220,3,2019,45106.0,43674.5,41797.36125,1431.5,3308.6387499999983,3.173635436526588,7.335251962043331
10300,1,2017,38631.4609375,38153.3046875,38875.98875,478.15625,244.5278124999968,1.2377379431066882,0.6329758351503803
10300,2,2018,39636.046875,38525.75,38875.98875,1110.296875,760.0581250000032,2.8012300987060024,1.91759316310429
10300,3,2019,40119.0,38989.7578125,38875.98875,1129.2421875,1243.0112500000032,2.8147316421140074,3.098310650813065
10420,1,2017,49208.94921875,49743.2890625,48442.365,534.33984375,766.584218750002,1.0858590809866202,1.5578146473766932
10420,2,2018,49997.4453125,50237.70703125,48442.365,240.26171875,1555.080312500002,0.4805479904987935,3.1103195428885266
10420,3,2019,50915.0,51005.5234375,48442.365,90.5234375,2472.635000000002,0.17779325837176124,4.8563979180978425
10460,1,2017,34666.07421875,35947.7890625,35259.964583333334,1281.71484375,593.8903645833343,3.6973175435492007,1.7131745603369843
10460,2,2018,35091.28515625,36385.67578125,35259.964583333334,1294.390625,168.6794270833343,3.688638416165534,0.48068751637967094
10460,3,2019,35102.0,36927.87890625,35259.964583333334,1825.87890625,157.9645833333343,5.201637816219817,0.4500159060261219
10500,1,2017,36824.5546875,37211.5,36691.88458333333,386.9453125,132.67010416666744,1.05078069723744,0.360276194220119
10500,2,2018,36780.6796875,37587.921875,36691.88458333333,807.2421875,88.79510416666744,2.19474516066141,0.24141779032109764
10500,3,2019,37905.0,38140.9296875,36691.88458333333,235.9296875,1213.1154166666674,0.6224236578286183,3.2004100162679
10540,1,2017,42357.94140625,41100.1015625,41575.754583333335,1257.83984375,782.1868229166648,2.9695490432028087,1.8466119857304182
10540,2,2018,43872.25390625,41456.68359375,41575.754583333335,2415.5703125,2296.499322916665,5.5059179718946,5.234514114144895
10540,3,2019,44306.0,42080.59375,41575.754583333335,2225.40625,2730.245416666665,5.022810116010242,6.162247588737527
10580,1,2017,57070.86328125,55772.82421875,55412.32083333333,1298.0390625,1658.5424479166686,2.274433901766874,2.9061106711194147
10580,2,2018,57214.2734375,56206.921875,55412.32083333333,1007.3515625,1801.9526041666686,1.7606647816654344,3.14948088283386
10580,3,2019,58358.0,56710.390625,55412.32083333333,1647.609375,2945.6791666666686,2.82327937043716,5.047601300020844
10620,1,2017,39213.59375,38100.59375,38479.65375,1113.0,733.9400000000023,2.8383014499907095,1.8716468699067277
10620,2,2018,39412.015625,38660.71875,38479.65375,751.296875,932.3618750000023,1.906263516558751,2.365679248356803
10620,3,2019,40243.0,39783.05859375,38479.65375,459.94140625,1763.3462500000023,1.1429103353375387,4.381746514920767
10660,1,2017,44222.22265625,43925.6015625,42764.75958333333,296.62109375,1457.4630729166674,0.6707512104392405,3.295770735554271
10660,2,2018,44321.33203125,44488.77734375,42764.75958333333,167.4453125,1556.5724479166674,0.37779846594389405,3.5120163961200697
10660,3,2019,44553.0,44804.19921875,42764.75958333333,251.19921875,1788.2404166666674,0.5638211091283273,4.013737383938828
10700,1,2017,36050.46484375,36373.37109375,35815.04666666667,322.90625,235.4181770833311,0.8957062035106936,0.6530239709907092
10700,2,2018,36301.05078125,36811.85546875,35815.04666666667,510.8046875,486.0041145833311,1.407134715129781,1.3388155552627286
10700,3,2019,37674.0,37463.04296875,35815.04666666667,210.95703125,1858.953333333331,0.5599538972499443,4.9343136734427935
10740,1,2017,42582.23828125,42264.67578125,42682.7225,317.5625,100.48421875000349,0.7457628175918501,0.23597683636612768
10740,2,2018,42969.00390625,42839.0546875,42682.7225,129.94921875,286.2814062499965,0.3024254856675143,0.6662509721531832
10740,3,2019,44616.0,43179.4140625,42682.7225,1436.5859375,1933.2774999999965,3.21988958557396,4.333148422089751
10760,1,2017,38095.23046875,37593.1640625,38244.19666666667,502.06640625,148.96619791667035,1.3179245802482273,0.3910363478148009
10760,2,2018,38590.23046875,38220.7890625,38244.19666666667,369.44140625,346.03380208332965,0.9573443894020648,0.8966875757931916
10760,3,2019,40133.0,38431.39453125,38244.19666666667,1701.60546875,1888.8033333333296,4.239915951335749,4.706359687371637
10780,1,2017,42042.87890625,42803.69140625,42479.22791666667,760.8125,436.34901041667035,1.8096108539482496,1.0378666298984105
10780,2,2018,42639.0703125,43365.63671875,42479.22791666667,726.56640625,159.84239583332965,1.7039921389581298,0.3748730792247903
10780,3,2019,43553.0,43859.015625,42479.22791666667,306.015625,1073.7720833333296,0.7026281197619676,2.4654377042524813
10820,1,2017,51323.61328125,53235.3828125,53385.89833333333,1911.76953125,2062.285052083331,3.724931681589247,4.0181992658656815
10820,2,2018,51049.37109375,53689.5390625,53385.89833333333,2640.16796875,2336.527239583331,5.1717933290518445,4.576995151011636
10820,3,2019,51249.0,54602.9765625,53385.89833333333,3353.9765625,2136.898333333331,6.544472209212563,4.169639082387781
10860,1,2017,41625.58203125,43543.6640625,39970.17166666667,1918.08203125,1655.410364583331,4.607940448279037,3.976906228818976
10860,2,2018,42148.23828125,43920.4140625,39970.17166666667,1772.17578125,2178.066614583331,4.204625990353545,5.167633816741863
10860,3,2019,43343.0,44452.48046875,39970.17166666667,1109.48046875,3372.828333333331,2.559768517983859,7.781714079165155
10900,1,2017,52293.83203125,51813.74609375,52083.95916666667,480.0859375,209.87286458333256,0.9180546134255684,0.4013338790277898
10900,2,2018,53073.7890625,52147.1875,52083.95916666667,926.6015625,989.8298958333326,1.7458741477994988,1.8650070276073878
10900,3,2019,54955.0,52658.16796875,52083.95916666667,2296.83203125,2871.0408333333326,4.179477811390378,5.224348709549286
10940,1,2017,35867.8984375,36082.57421875,35827.831666666665,214.67578125,40.066770833334886,0.5985178686284446,0.11170649126025678
10940,2,2018,36283.73828125,36334.28515625,35827.831666666665,50.546875,455.9066145833349,0.1393099977961937,1.2565039772067912
10940,3,2019,36084.0,36784.2734375,35827.831666666665,700.2734375,256.1683333333349,1.9406757496391918,0.709922218526948
10980,1,2017,40267.2734375,40271.05859375,39671.855,3.78515625,595.4184374999968,0.009400080827111652,1.4786658908605153
10980,2,2018,39995.51171875,40751.38671875,39671.855,755.875,323.6567187499968,1.889899560018518,0.8092325984622539
10980,3,2019,40432.0,40853.38671875,39671.855,421.38671875,760.1449999999968,1.0422109189500788,1.8800578749500616
11020,1,2017,44617.6171875,45675.05078125,44339.44541666667,1057.43359375,278.1717708333308,2.3699911837649905,0.6234572538113949
11020,2,2018,45818.26171875,46036.11328125,44339.44541666667,217.8515625,1478.8163020833308,0.47546885090754554,3.2275696340479865
11020,3,2019,46395.0,46779.20703125,44339.44541666667,384.20703125,2055.554583333331,0.8281216321800134,4.430551963213467
11060,1,2017,40007.50390625,39297.22265625,38845.09166666667,710.28125,1162.4122395833328,1.7753700697354977,2.9054855366806565
11060,2,2018,40361.08984375,39712.98046875,38845.09166666667,648.109375,1515.9981770833328,1.60577768714588,3.7560883091904738
11060,3,2019,42435.0,40086.05859375,38845.09166666667,2348.94140625,3589.908333333333,5.535386841638852,8.459781626799781
11100,1,2017,45932.109375,46677.45703125,45272.75041666667,745.34765625,659.3589583333305,1.622715930950728,1.4355076814566323
11100,2,2018,46582.00390625,46909.7890625,45272.75041666667,327.78515625,1309.2534895833305,0.7036733690324346,2.81064226480687
11100,3,2019,48372.0,47163.97265625,45272.75041666667,1208.02734375,3099.2495833333305,2.497369022884624,6.407114825379745
11140,1,2017,35782.3515625,34667.49609375,34623.910833333335,1114.85546875,1158.4407291666648,3.115657356399293,3.2374639412474786
11140,2,2018,35476.2109375,35091.68359375,34623.910833333335,384.52734375,852.3001041666648,1.0839019545444983,2.4024552838181035
11140,3,2019,36688.0,35441.51953125,34623.910833333335,1246.48046875,2064.089166666665,3.397515451236536,5.62606074647324
11180,1,2017,42464.3515625,43601.76171875,42590.03125,1137.41015625,125.6796875,2.678505886462592,0.29596516342653245
11180,2,2018,43621.74609375,44291.41015625,42590.03125,669.6640625,1031.71484375,1.5351610663650028,2.3651388037802197
11180,3,2019,44051.0,45023.87890625,42590.03125,972.87890625,1460.96875,2.2085285379441535,3.3165393521138418
11220,1,2017,41966.72265625,41434.29296875,40779.888333333336,532.4296875,1186.834322916664,1.2686949416112667,2.828036710509318
11220,2,2018,40751.10546875,41969.953125,40779.888333333336,1218.84765625,28.78286458333605,2.990956054393113,0.07063088044421552
11220,3,2019,41971.0,42482.6875,40779.888333333336,511.6875,1191.111666666664,1.2191453622736608,2.8379396885144033
11260,1,2017,60634.59375,64312.01171875,61103.776666666665,3677.41796875,469.1829166666648,6.064884319851477,0.7737875157555376
11260,2,2018,61806.89453125,64916.125,61103.776666666665,3109.23046875,703.1178645833352,5.030556044483756,1.1376042590648525
11260,3,2019,62030.0,65611.65625,61103.776666666665,3581.65625,926.2233333333352,5.774071014024541,1.4931860927505818
11380,1,2017,47686.8515625,48044.6484375,43329.43041666667,357.796875,4357.42114583333,0.7503050909766695,9.137573572290536
11380,2,2018,52478.0703125,48968.25390625,43329.43041666667,3509.81640625,9148.63989583333,6.68815828278143,17.43326277310244
