CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,mape_model
10100,1,2017,51652.234375,50506.625,53124.87125,1145.609375,1472.6368749999965,2.2179280119476923
10100,2,2018,54317.15625,51998.90625,53124.87125,2318.25,1192.2850000000035,4.267988532628675
10100,3,2019,54190.0,52666.2265625,53124.87125,1523.7734375,1065.1287500000035,2.8119089084701976
10140,1,2017,39149.953125,37475.55078125,38393.355,1674.40234375,756.5981249999968,4.27689488772536
10140,2,2018,39713.4375,38026.98046875,38393.355,1686.45703125,1320.0824999999968,4.246565236892424
10140,3,2019,40470.0,38673.86328125,38393.355,1796.13671875,2076.644999999997,4.438193028786755
10180,1,2017,42102.34375,41977.1015625,41700.40833333333,125.2421875,401.93541666666715,0.2974708207307343
10180,2,2018,43536.2109375,42614.8671875,41700.40833333333,921.34375,1835.8026041666672,2.116269951288753
10180,3,2019,45049.0,43222.58203125,41700.40833333333,1826.41796875,3348.591666666667,4.054291923794091
10220,1,2017,42772.109375,38296.5234375,41797.36125,4475.5859375,974.7481249999983,10.463795222865366
10220,2,2018,43676.73828125,38572.71484375,41797.36125,5104.0234375,1879.3770312499983,11.685907964631847
10220,3,2019,45106.0,38946.81640625,41797.36125,6159.18359375,3308.6387499999983,13.654909754245557
10300,1,2017,38631.4609375,36650.8046875,38875.98875,1980.65625,244.5278124999968,5.127055001115307
10300,2,2018,39636.046875,36763.32421875,38875.98875,2872.72265625,760.0581250000032,7.247752696704822
10300,3,2019,40119.0,37041.90625,38875.98875,3077.09375,1243.0112500000032,7.669916373787982
10420,1,2017,49208.94921875,44047.2578125,48442.365,5161.69140625,766.584218750002,10.489334741338572
10420,2,2018,49997.4453125,44909.41796875,48442.365,5088.02734375,1555.080312500002,10.176574646860862
10420,3,2019,50915.0,45381.04296875,48442.365,5533.95703125,2472.635000000002,10.869011158303055
10460,1,2017,34666.07421875,34674.06640625,35259.964583333334,7.9921875,593.8903645833343,0.023054781021836123
10460,2,2018,35091.28515625,34878.54296875,35259.964583333334,212.7421875,168.6794270833343,0.6062536226665074
10460,3,2019,35102.0,35374.6875,35259.964583333334,272.6875,157.9645833333343,0.7768431998176741
10500,1,2017,36824.5546875,35380.21875,36691.88458333333,1444.3359375,132.67010416666744,3.922208835264683
