CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,smape_model
10100,1,2017,0.014681247994303703,0.014742475934326649,0.00957971354778117,6.12279400229454e-05,0.005101534446522534,0.4161806259630999
10100,2,2018,0.011746772564947605,0.014324549585580826,0.00957971354778117,0.0025777770206332207,0.0021670590171664356,19.77480096337135
10100,3,2019,0.006721856538206339,0.014003267511725426,0.00957971354778117,0.007281410973519087,0.0028578570095748306,70.26647891373285
10140,1,2017,0.007651932537555695,0.00899489875882864,0.009137595678882778,0.0013429662212729454,0.0014856631413270836,16.134787343285783
10140,2,2018,0.004859772510826588,0.008645039051771164,0.009137595678882778,0.0037852665409445763,0.0042778231680561905,56.05800155742972
10140,3,2019,0.006474350579082966,0.008881820365786552,0.009137595678882778,0.0024074697867035866,0.0026632450997998124,31.35505885671293
10180,1,2017,0.014783650636672974,0.016024423763155937,0.01179037274288632,0.0012407731264829636,0.002993277893786653,8.054854111538685
10180,2,2018,0.010159777477383614,0.01567929796874523,0.01179037274288632,0.005519520491361618,0.001630595265502707,42.72225890400885
10180,3,2019,0.01087353564798832,0.015590713359415531,0.01179037274288632,0.004717177711427212,0.0009168370948980011,35.6494221894329
10220,1,2017,0.012303254567086697,0.011391934007406235,0.01409848049710198,0.0009113205596804619,0.0017952259300152828,7.69202719964936
10220,2,2018,0.009877060540020466,0.011203350499272346,0.01409848049710198,0.0013262899592518806,0.0042214199570815136,12.583144869637517
10220,3,2019,0.025905780494213104,0.010991490446031094,0.01409848049710198,0.01491429004818201,0.011807299997111125,80.84221746494528
10300,1,2017,0.006099826190620661,0.008660958148539066,0.007510859073359073,0.0025611319579184055,0.0014110328827384123,34.70181751836806
10300,2,2018,0.004977078177034855,0.008340258151292801,0.007510859073359073,0.003363179974257946,0.002533780896324218,50.508260299637065
10300,3,2019,0.007485418580472469,0.008442457765340805,0.007510859073359073,0.0009570391848683357,2.5440492886603765e-05,12.01715235894935
10420,1,2017,0.017623091116547585,0.012751616537570953,0.014559802894909966,0.004871474578976631,0.003063288221637619,32.07585093925048
10420,2,2018,0.011983262374997139,0.012429981492459774,0.014559802894909966,0.00044671911746263504,0.0025765405199128268,3.6596442234856337
10420,3,2019,0.012751069851219654,0.01238611526787281,0.014559802894909966,0.0003649545833468437,0.0018087330436903117,2.903701718650778
10460,1,2017,0.014126043766736984,0.009988476522266865,0.007261489747141835,0.0041375672444701195,0.006864554019595149,34.315967965229966
10460,2,2018,0.0053940340876579285,0.009544282220304012,0.007261489747141835,0.004150248132646084,0.0018674556594839064,55.56510210161969
10460,3,2019,0.00737537257373333,0.009674351662397385,0.007261489747141835,0.002298979088664055,0.00011388282659149495,26.967916998872674
10500,1,2017,0.009929793886840343,0.013636935502290726,0.012929295601394115,0.0037071416154503822,0.002999501714553772,31.460793572148617
10500,2,2018,0.009548156522214413,0.013502799905836582,0.012929295601394115,0.0039546433836221695,0.0033811390791797027,34.3121699124052
10500,3,2019,0.010910890065133572,0.013004879467189312,0.012929295601394115,0.0020939894020557404,0.002018405536260544,17.51136231395386
10540,1,2017,0.006207257974892855,0.010824979282915592,0.010917407794387449,0.0046177213080227375,0.004710149819494594,54.22327703592653
10540,2,2018,0.006698007695376873,0.010574858635663986,0.010917407794387449,0.003876850940287113,0.004219400099010576,44.889465610543105
10540,3,2019,0.009017478674650192,0.010564612224698067,0.010917407794387449,0.0015471335500478745,0.0018999291197372564,15.801507284638358
10580,1,2017,0.013415965251624584,0.012605320662260056,0.01307965773737831,0.0008106445893645287,0.000336307514246275,6.230624270576614
10580,2,2018,0.014555291272699833,0.012410840950906277,0.01307965773737831,0.002144450321793556,0.0014756335353215237,15.904761637846057
10580,3,2019,0.01527002826333046,0.012368257157504559,0.01307965773737831,0.002901771105825901,0.0021903705259521504,20.998191542872156
10620,1,2017,0.013568652793765068,0.010846390388906002,0.014043968041288274,0.002722262404859066,0.0004753152475232055,22.299868728455035
10620,2,2018,0.008103148080408573,0.010566648095846176,0.014043968041288274,0.002463500015437603,0.0059408199608797,26.390204506470056
10620,3,2019,0.009921081364154816,0.010393064469099045,0.014043968041288274,0.0004719831049442291,0.004122886677133458,4.64683946326337
10660,1,2017,0.006755009759217501,0.007535912562161684,0.013334634273262432,0.0007809028029441833,0.006579624514044931,10.928647416179496
10660,2,2018,0.01305035874247551,0.00718685844913125,0.013334634273262432,0.005863500293344259,0.00028427553078692186,57.94766484388832
10660,3,2019,0.007263528183102608,0.007208020426332951,0.013334634273262432,5.5507756769657135e-05,0.006071106090159824,0.7671289356968873
10700,1,2017,0.00772393774241209,0.008905052207410336,0.00778788481467137,0.0011811144649982452,6.394707225928012e-05,14.205478003033583
10700,2,2018,0.008783532306551933,0.008571327663958073,0.00778788481467137,0.00021220464259386063,0.0009956474918805629,2.445476606329475
10700,3,2019,0.008073296397924423,0.008511891588568687,0.00778788481467137,0.0004385951906442642,0.0002854115832530528,5.288995536881182
10740,1,2017,0.011567633599042892,0.015896718949079514,0.014152308212204005,0.004329085350036621,0.0025846746131611125,31.525110713575092
10740,2,2018,0.012800236232578754,0.015320870094001293,0.014152308212204005,0.0025206338614225388,0.0013520719796252505,17.92698292734587
10740,3,2019,0.012665800750255585,0.015125274658203125,0.014152308212204005,0.0024594739079475403,0.0014865074619484202,17.699732643036356
10760,1,2017,0.0038306070491671562,0.006572005804628134,0.005025125628140704,0.0027413987554609776,0.0011945185789735474,52.70591453694404
10760,2,2018,0.0043967911042273045,0.006340000778436661,0.005025125628140704,0.0019432096742093563,0.0006283345239133991,36.19717855364239
10760,3,2019,0.008728565648198128,0.006504282355308533,0.005025125628140704,0.002224283292889595,0.003703440020057424,29.203755360649417
10780,1,2017,0.00871689897030592,0.012631507590413094,0.00799291815820421,0.003914608620107174,0.0007239808121017096,36.67352666623562
10780,2,2018,0.009809537790715694,0.012163088656961918,0.00799291815820421,0.0023535508662462234,0.0018166196325114844,21.422562302440323
10780,3,2019,0.0118727907538414,0.01192642841488123,0.00799291815820421,5.3637661039829254e-05,0.00387987259563719,0.4507512462657473
10820,1,2017,0.013454916886985302,0.015345203690230846,0.013750365701215458,0.0018902868032455444,0.00029544881423015576,13.12693217259893
10820,2,2018,0.00658662524074316,0.015233687125146389,0.013750365701215458,0.008647061884403229,0.0071637404604722975,79.25695816410743
10820,3,2019,0.00565672293305397,0.014822104945778847,0.013750365701215458,0.009165382012724876,0.008093642768161487,89.51076293443711
10860,1,2017,0.0062471297569572926,0.016832415014505386,0.008520602935967571,0.010585285257548094,0.0022734731790102786,91.72867815142212
10860,2,2018,0.012634212151169777,0.016937514767050743,0.008520602935967571,0.004303302615880966,0.004113609215202206,29.10415866191141
10860,3,2019,0.006483179982751608,0.016463391482830048,0.008520602935967571,0.00998021150007844,0.0020374229532159633,86.98647783372954
10900,1,2017,0.01565796695649624,0.012390712276101112,0.014205151798291588,0.0032672546803951263,0.0014528151582046504,23.297022212346523
10900,2,2018,0.011918139643967152,0.0116338599473238,0.014205151798291588,0.0002842796966433525,0.0022870121543244366,2.4140589408427657
10900,3,2019,0.012463217601180077,0.011333391070365906,0.014205151798291588,0.0011298265308141708,0.0017419341971115117,9.49568967262667
10940,1,2017,0.005124292802065611,0.00917809922248125,0.007419462926619118,0.00405380642041564,0.0022951701245535073,56.68707135288452
10940,2,2018,0.007314850576221943,0.008976885117590427,0.007419462926619118,0.0016620345413684845,0.00010461235039717527,20.40339411877424
10940,3,2019,0.004722156096249819,0.009137188084423542,0.007419462926619118,0.004415031988173723,0.0026973068303692994,63.71194401439588
10980,1,2017,0.010319987311959267,0.007613887544721365,0.009982788296041309,0.0027060997672379017,0.00033719901591795776,30.178623191392244
10980,2,2018,0.0169063787907362,0.0071564847603440285,0.009982788296041309,0.00974989403039217,0.0069235904946948895,81.03682222071502
10980,3,2019,0.009463286027312279,0.007347446400672197,0.009982788296041309,0.0021158396266400814,0.0005195022687290302,25.17247094474411
11020,1,2017,0.01115331519395113,0.015033325180411339,0.015875052115070076,0.003880009986460209,0.004721736921118946,29.633495930116034
11020,2,2018,0.0073901754803955555,0.01500902883708477,0.015875052115070076,0.007618853356689215,0.00848487663467452,68.02786248393961
11020,3,2019,0.014302046969532967,0.014937722124159336,0.015875052115070076,0.0006356751546263695,0.001573005145537109,4.348016122758597
11060,1,2017,0.012502456083893776,0.012106497772037983,0.003144532008230133,0.000395958311855793,0.009357924075663642,3.2180006779143686
11060,2,2018,0.010657829232513905,0.011543279513716698,0.003144532008230133,0.0008854502812027931,0.007513297224283772,7.9766275864195215
11060,3,2019,0.010269420221447945,0.011541453190147877,0.003144532008230133,0.001272032968699932,0.007124888213217812,11.664204009486859
11100,1,2017,0.012747938744723797,0.015932133421301842,0.014366080193309674,0.003184194676578045,0.0016181414485858768,22.20492018220251
11100,2,2018,0.015239144675433636,0.015459798276424408,0.014366080193309674,0.00022065360099077225,0.0008730644821239621,1.4375317707857997
11100,3,2019,0.014249216765165329,0.015129356645047665,0.014366080193309674,0.0008801398798823357,0.00011686342814434467,5.991710815956967
11140,1,2017,0.006951626855880022,0.009571184404194355,0.00977724876721646,0.002619557548314333,0.0028256219113364373,31.708356667202015
11140,2,2018,0.009703689254820347,0.00957172829657793,0.00977724876721646,0.00013196095824241638,7.355951239611247e-05,1.3692143314646597
