CBSA_Code,CBSA_Name,main_state,year,Metro_Micro,total_students,diploma_recipients,population,unemployment,Employees,Establishment_entries,Job_creation_entries,operations_adj,instruction_adj,student_adj,other_adj,per_cap_income_adj,total_expenditure
10100,Aberdeen,SD,1998,0,5576.0,433.0,40202.0,2.3,17411.0,123.0,820.0,7928268.711656441,26294744.78527607,5314795.09202454,1672246.625766871,40853.95766871165,41210055.21472393
10100,Aberdeen,SD,1999,0,5421.0,411.0,40072.0,2.2,16819.0,99.0,555.0,8008659.063625449,26487818.727490995,5482355.342136854,1364449.5798319327,40709.404561824726,41343282.713085234
10100,Aberdeen,SD,2000,0,5261.0,431.0,39825.0,2.3,17599.0,109.0,616.0,7672484.901277585,26530731.126596984,5623321.138211383,1256226.480836237,42036.07026713125,41082763.646922186
10100,Aberdeen,SD,2001,0,5138.0,386.0,39602.0,2.9,17746.0,119.0,1089.0,8118836.15819209,27020411.299435027,5769863.276836158,1658438.418079096,43000.938983050844,42567549.15254237
10100,Aberdeen,SD,2002,0,5130.0,389.0,39417.0,3.2,17644.0,115.0,693.0,7828769.316286825,26546464.14674819,6064879.933296275,1725513.0628126734,42344.71595330739,42165626.45914397
10100,Aberdeen,SD,2003,0,5057.0,356.0,39419.0,3.2,17918.0,109.0,1029.0,7693234.782608694,26920763.043478258,5758808.695652173,1637035.8695652173,43719.141304347824,42009842.391304344
10100,Aberdeen,SD,2004,0,5080.0,374.0,39440.0,3.1,17225.0,137.0,1068.0,7681829.010058231,27585549.497088403,6089964.531498146,1721812.5992588669,46897.73530968766,43079155.63790365
10100,Aberdeen,SD,2005,0,5524.0,384.0,39569.0,3.1,17394.0,122.0,412.0,8875526.36968766,30626392.217101894,7327971.838197645,1789769.073220686,47788.27444956477,48619659.49820788
10100,Aberdeen,SD,2006,0,5547.0,381.0,39604.0,2.5,18252.0,140.0,906.0,9209512.400793651,30558433.035714287,7138291.666666667,1733838.7896825396,47939.94494047619,48640075.89285714
10100,Aberdeen,SD,2007,0,5509.0,370.0,39847.0,2.3,18220.0,111.0,654.0,9343596.237337193,30727171.731789675,6906243.608297153,1675063.1934394597,50767.48962855765,48652074.77086348
10100,Aberdeen,SD,2008,0,5474.0,390.0,39915.0,2.5,18579.0,107.0,661.0,9350330.236878773,31028417.092429165,7121120.297259636,1286219.6934509985,52071.11379470505,48786087.320018575
10100,Aberdeen,SD,2009,0,5678.0,371.0,40219.0,3.4,18361.0,99.0,774.0,9675135.135135135,32650006.523765143,7520868.592730662,1806342.9636533083,48276.77958993476,51652353.21528425
10100,Aberdeen,SD,2010,0,5656.0,389.0,40712.0,3.7,17805.0,106.0,567.0,9351046.309032554,33913956.441999085,7851549.289316827,1766803.759743237,48160.93672627235,52883355.8000917
10100,Aberdeen,SD,2011,0,5715.0,,40928.0,3.7,17832.0,91.0,531.0,9262729.657625612,33925443.752779014,7664178.301467319,1637207.647843486,53831.16007114273,52489559.35971543
10100,Aberdeen,SD,2012,0,5763.0,,41508.0,3.3,18202.0,111.0,464.0,8658830.57491289,31383388.501742158,7804641.114982578,1536872.8222996516,53411.89895470383,49383733.01393727
10100,Aberdeen,SD,2013,0,5941.0,,42055.0,3.1,19214.0,92.0,594.0,8905603.004291845,31774840.343347635,8019981.115879827,1611019.7424892702,55720.65150214592,50311444.206008576
10100,Aberdeen,SD,2014,0,6014.0,,42093.0,2.8,19540.0,100.0,606.0,9284923.954372624,32709506.97084918,8068539.5014786655,1761920.9970426701,54605.507393324886,51824891.423743136
10100,Aberdeen,SD,2015,0,6102.0,,42239.0,2.6,19853.0,108.0,938.0,9520239.662447257,33589485.65400843,8944105.485232066,1887001.2658227847,55626.07848101265,53940832.067510545
10100,Aberdeen,SD,2016,0,6205.0,,42590.0,2.6,19628.0,85.0,408.0,9939272.083333334,35222675.0,8833369.583333334,2220328.3333333335,53124.871250000004,56215645.00000001
10100,Aberdeen,SD,2017,0,6348.0,,42980.0,2.7,19477.0,111.0,631.0,10814305.181558548,38914180.74255406,9068951.856385149,2071889.840881273,51652.234598123214,60869327.62137903
10100,Aberdeen,SD,2018,0,6311.0,,42650.0,2.5,19363.0,79.0,501.0,10952025.089605736,39283707.2879331,8687282.755874155,2032565.5117483076,54317.15651135006,60955580.64516129
10100,Aberdeen,SD,2019,0,6273.0,409.0,42399.0,2.5,19070.0,86.0,285.0,10889000.0,39186000.0,8768000.0,2033000.0,54190.0,60876000.0
10140,Aberdeen,WA,1998,0,13583.0,0.0,67466.0,9.6,17896.0,185.0,1066.0,25168409.81595092,83409967.48466256,14418028.834355827,2946040.4907975458,32862.94049079754,125942446.62576686
10140,Aberdeen,WA,1999,0,13327.0,857.0,67265.0,8.6,17705.0,195.0,1011.0,25325964.58583433,82530014.4057623,14682030.0120048,3058884.1536614643,32622.469987995195,125596893.15726289
10140,Aberdeen,WA,2000,0,13053.0,798.0,67075.0,7.9,18306.0,183.0,956.0,24558782.229965158,81743815.33101046,14299599.30313589,3202932.055749129,33315.245063879214,123805128.91986063
10140,Aberdeen,WA,2001,0,12861.0,646.0,67896.0,9.2,17611.0,160.0,857.0,25694238.418079093,83716468.92655367,14494000.56497175,3159411.8644067794,33089.31355932203,127064119.77401128
10140,Aberdeen,WA,2002,0,12781.0,788.0,68264.0,9.2,16860.0,177.0,1176.0,27548512.5069483,86124990.55030571,14907068.371317396,3861794.886047804,33594.914952751526,132442366.31461923
10140,Aberdeen,WA,2003,0,12607.0,809.0,69065.0,9.6,17790.0,197.0,1183.0,27280688.58695652,85574729.89130434,14882017.934782607,4178749.456521739,34238.78586956521,131916185.8695652
