CBSA_Code,CBSA_Name,main_state,year,Metro_Micro,total_students,operations_adj,instruction_adj,student_adj,other_adj,per_cap_income_adj
38820,Port Angeles,WA,2016,0,10522.0,20191776.666666668,81298749.58333333,15011720.833333334,4005966.6666666665,44475.81875
38820,Port Angeles,WA,2017,0,10603.0,21094467.564259484,84068025.70379438,15596552.42758058,4400418.604651162,45363.537739698084
38820,Port Angeles,WA,2018,0,10392.0,21039497.013142176,89894181.2027081,15861342.891278377,4760643.170051772,45832.51931501394
38820,Port Angeles,WA,2019,0,10753.0,22456000.0,101332000.0,17214000.0,4979000.0,47409.0
38860,Portland-South Portland,ME,1998,1,66751.0,122127339.8773006,487241840.4907975,71823463.19018404,10424088.957055213,44499.6435582822
38860,Portland-South Portland,ME,1999,1,67174.0,126209283.91356541,510003319.3277311,79227094.83793516,11432828.93157263,45273.94117647059
38860,Portland-South Portland,ME,2000,1,66942.0,126290853.6585366,523620737.514518,87347832.75261325,11969789.198606273,46575.41347270616
38860,Portland-South Portland,ME,2001,1,67428.0,131607489.83050847,546585475.7062147,87014565.53672315,12335719.209039547,47577.53559322034
38860,Portland-South Portland,ME,2002,1,66994.0,140835409.67204002,566818249.0272373,89163826.57031684,13296684.269038353,47555.36742634796
38860,Portland-South Portland,ME,2003,1,66545.0,143118347.2826087,588593606.521739,89868822.28260869,14755557.60869565,48601.06576086956
38860,Portland-South Portland,ME,2004,1,66117.0,143568308.09952354,599389767.6019057,90267920.5929063,13111223.928004233,49985.35680254102
38860,Portland-South Portland,ME,2005,1,65518.0,146933887.35279056,606945126.4720942,94996543.26676907,13510334.357398873,49036.00665642601
38860,Portland-South Portland,ME,2006,1,64050.0,153034420.63492063,600891194.9404762,99339957.34126985,15254483.63095238,50329.52232142857
38860,Portland-South Portland,ME,2007,1,63573.0,158339110.46792087,630122262.4216112,102273832.60974433,14539005.788712012,50624.40617462614
38860,Portland-South Portland,ME,2008,1,62994.0,187067174.64003712,577424756.6186715,128060213.1908964,7824206.223873664,50598.43381328378
38860,Portland-South Portland,ME,2009,1,64162.0,192655532.6188257,575246359.7390494,135606789.3755825,11182406.80335508,50196.31686859273
38860,Portland-South Portland,ME,2010,1,71463.0,201004116.91884455,682443486.4740944,158532827.60201743,14798007.336084364,50985.243466299864
38860,Portland-South Portland,ME,2011,1,71211.0,216190995.99822143,671114153.8461539,157287903.06803024,14596160.960426856,51542.48021342819
38860,Portland-South Portland,ME,2012,1,67918.0,201551961.2369338,628284746.5156794,156191939.4599303,14245029.181184668,51545.37804878048
38860,Portland-South Portland,ME,2013,1,70106.0,184421155.7939914,628716915.8798282,162571426.1802575,14726344.635193132,50781.14206008583
38860,Portland-South Portland,ME,2014,1,69742.0,193732449.93662867,651096245.0359105,156652168.99028307,13893357.41444867,51359.29488804394
38860,Portland-South Portland,ME,2015,1,69427.0,200123551.0548523,671340889.4514767,163111785.2320675,14784207.17299578,53588.03080168776
38860,Portland-South Portland,ME,2016,1,69061.0,198542526.66666666,671094238.75,164075232.08333334,14832730.833333334,55034.097916666666
38860,Portland-South Portland,ME,2017,1,68637.0,200343192.98245615,677055208.486332,171015414.93268055,15303399.836801305,56268.60546715626
38860,Portland-South Portland,ME,2018,1,68715.0,204936778.1760255,677088712.0669056,172394345.28076464,15134262.84348865,57298.79569892473
38860,Portland-South Portland,ME,2019,1,68754.0,203326000.0,687624000.0,177501000.0,16033000.0,58949.0
38900,Portland-Vancouver-Hillsboro,OR,1998,1,303470.0,586552269.3251534,1902290346.6257668,384059831.2883435,161254146.0122699,45936.58343558282
38900,Portland-Vancouver-Hillsboro,OR,1999,1,305093.0,572457967.5870348,2010092079.8319325,387984077.43097234,149048849.93997598,45838.752701080426
38900,Portland-Vancouver-Hillsboro,OR,2000,1,308859.0,525511016.8408827,2013178665.5052266,430989626.0162602,161261763.6469222,47914.794425087115
38900,Portland-Vancouver-Hillsboro,OR,2001,1,309955.0,542716749.1525424,2070043186.440678,469661670.05649716,192321071.18644068,46586.517514124294
38900,Portland-Vancouver-Hillsboro,OR,2002,1,318559.0,535071082.8237909,2087447245.1361866,492965152.8627014,183364900.5002779,45308.220678154525
38900,Portland-Vancouver-Hillsboro,OR,2003,1,319143.0,511572319.5652173,2006687740.7608693,480913333.6956521,170824276.0869565,45315.876630434774
38900,Portland-Vancouver-Hillsboro,OR,2004,1,316866.0,522754217.04605603,2031197416.6225514,485702759.13181573,169051676.0190577,46497.06193753308
38900,Portland-Vancouver-Hillsboro,OR,2005,1,322668.0,542207071.1725551,2133857741.935484,510615748.5919099,175398678.44342038,46776.21044546851
38900,Portland-Vancouver-Hillsboro,OR,2006,1,322900.0,555791092.7579365,2180162125.0,532493981.64682543,174645890.37698412,48679.394841269845
38900,Portland-Vancouver-Hillsboro,OR,2007,1,329940.0,570382453.4491075,2244320714.9059334,542133339.1220453,184402501.68837434,49288.549445248434
38900,Portland-Vancouver-Hillsboro,OR,2008,1,332998.0,600035144.9140733,2346514838.365072,564025744.0780306,229836651.648862,49332.404087320014
38900,Portland-Vancouver-Hillsboro,OR,2009,1,332912.0,613217690.5871389,2405207615.0978565,588600905.8713886,234653006.52376515,46615.801957129544
38900,Portland-Vancouver-Hillsboro,OR,2010,1,333439.0,572827792.2971114,2345304785.8780375,579429565.3370013,227050110.49977073,46480.890417239796
38900,Portland-Vancouver-Hillsboro,OR,2011,1,333965.0,561545168.963984,2286091023.1213875,573736681.1916407,191389574.03290352,47361.91596265007
38900,Portland-Vancouver-Hillsboro,OR,2012,1,334722.0,555834557.055749,2214782969.512195,579866570.5574913,208808673.7804878,48800.166811846684
38900,Portland-Vancouver-Hillsboro,OR,2013,1,335781.0,554104094.8497853,2190258159.656652,562777043.776824,200757422.7467811,48165.97854077253
38900,Portland-Vancouver-Hillsboro,OR,2014,1,338047.0,574456462.6108999,2273473315.166878,577009141.5293621,201498513.73046052,49947.38149556401
38900,Portland-Vancouver-Hillsboro,OR,2015,1,340291.0,608168963.7130802,2450961102.1097045,613140548.5232067,247732301.6877637,52768.06455696202
38900,Portland-Vancouver-Hillsboro,OR,2016,1,342474.0,622768004.1666666,2563087790.8333335,640359098.75,254000660.41666666,53655.44875
38900,Portland-Vancouver-Hillsboro,OR,2017,1,343423.0,635628887.3929008,2632505048.959608,659457707.0583435,249362270.50183597,55247.266013871886
38900,Portland-Vancouver-Hillsboro,OR,2018,1,342311.0,646994318.9964159,2745982768.219833,694519285.1453605,255308965.35244924,57313.05217045002
38900,Portland-Vancouver-Hillsboro,OR,2019,1,341035.0,662059000.0,2845587000.0,743383000.0,263394000.0,58550.0
38920,Port Lavaca,TX,1998,0,4453.0,7598839.26380368,22570623.312883433,4585344.171779141,826711.0429447852,30555.365644171776
38920,Port Lavaca,TX,1999,0,4324.0,7979497.599039615,24207085.234093636,4510818.1272509005,791963.9855942377,31904.17707082833
38920,Port Lavaca,TX,2000,0,4242.0,8875254.936120791,25188380.371660862,4855627.177700349,550898.3739837399,31971.40940766551
38920,Port Lavaca,TX,2001,0,4124.0,10030085.310734462,26253311.299435027,5086551.97740113,1035801.6949152541,32179.194915254237
38920,Port Lavaca,TX,2002,0,4252.0,10027590.327959977,27662220.122290157,5172275.152862701,869863.2573652028,31387.565869927734
38920,Port Lavaca,TX,2003,0,4216.0,9686027.173913043,28131169.021739125,5357192.934782608,939419.5652173912,31555.32554347826
38920,Port Lavaca,TX,2004,0,4298.0,9770474.325039703,25593011.64637374,5333287.453679195,832480.1482265748,30041.02752779248
38920,Port Lavaca,TX,2005,0,4260.0,9145235.535074245,24252876.600102406,5068175.627240143,811746.0317460317,31222.10906298003
38920,Port Lavaca,TX,2006,0,4326.0,9945157.242063493,26031680.555555556,5304252.976190477,832039.6825396826,32291.003472222223
38920,Port Lavaca,TX,2007,0,4338.0,10887910.757356487,26480306.801736612,5234880.849011095,765989.8697539797,34739.67583212735
38920,Port Lavaca,TX,2008,0,4267.0,10482156.0613098,27932226.196005568,5507110.543427775,928738.5044124476,37908.445424988386
38920,Port Lavaca,TX,2009,0,4394.0,11191938.956197577,28728717.148182664,5600139.794967381,791168.6859273067,34185.87465051258
38920,Port Lavaca,TX,2010,0,4276.0,10497651.535992663,29516291.60935351,5437581.843191196,784334.250343879,35840.20632737276
38920,Port Lavaca,TX,2011,0,4227.0,9650429.524232993,27298163.628279235,4983250.778123611,1159688.7505558026,38945.07692307692
38920,Port Lavaca,TX,2012,0,4238.0,8732333.18815331,24118880.226480834,4577208.18815331,991171.6027874564,39341.7168989547
38920,Port Lavaca,TX,2013,0,4256.0,8296532.188841201,24053358.79828326,4766116.309012875,1077671.2446351931,42737.01759656652
38920,Port Lavaca,TX,2014,0,4282.0,8525493.87410224,23792955.21757499,4611674.271229405,1384906.63286861,41767.574144486694
38920,Port Lavaca,TX,2015,0,4224.0,9185779.746835442,23629053.586497888,4345821.097046413,1447887.76371308,41918.616455696196
38920,Port Lavaca,TX,2016,0,4179.0,7311954.583333333,24317070.0,3950565.0,1392499.5833333333,40229.06791666667
38920,Port Lavaca,TX,2017,0,4013.0,8434657.282741738,23274855.16115871,4442148.510811914,1282151.3667890658,41140.47123623011
38920,Port Lavaca,TX,2018,0,3907.0,8795224.611708483,22714632.417363603,4523374.751095181,1195506.9693349265,46994.42174432497
38920,Port Lavaca,TX,2019,0,3846.0,10420000.0,23222000.0,4667000.0,1061000.0,55974.0
38940,Port St. Lucie,FL,1998,1,43743.0,69341761.34969324,231919899.99999997,60919348.46625766,12080648.466257667,44410.22699386503
38940,Port St. Lucie,FL,1999,1,44744.0,74179091.83673468,243332469.3877551,64216614.64585834,12115821.128451379,44640.06302521008
38940,Port St. Lucie,FL,2000,1,45501.0,70690210.22067364,244344959.93031362,64735756.09756098,12170250.87108014,45682.98780487805
38940,Port St. Lucie,FL,2001,1,45795.0,71617669.49152543,253993888.70056495,70541418.07909603,13648890.395480225,47213.488135593216
38940,Port St. Lucie,FL,2002,1,47349.0,71095686.49249582,256241532.51806557,69263572.54030016,13725930.516953861,46415.448582545854
38940,Port St. Lucie,FL,2003,1,48712.0,71236074.45652173,275288843.4782608,71162421.73913042,15019595.652173912,46848.686956521735
38940,Port St. Lucie,FL,2004,1,50431.0,73523563.79036526,287160981.4716781,73592598.7294865,15765685.01852832,49209.72895712016
38940,Port St. Lucie,FL,2005,1,52656.0,79879737.32718894,309285712.2375832,77809784.94623655,15275227.342549922,50438.232462877626
38940,Port St. Lucie,FL,2006,1,54357.0,91533243.5515873,320848960.81349206,82432809.52380952,14138332.837301588,51797.006944444445
38940,Port St. Lucie,FL,2007,1,57032.0,108810032.8027014,359218411.96333814,92207418.23444283,14932485.287023637,51254.713458755425
38940,Port St. Lucie,FL,2008,1,58456.0,115373787.73803993,380766159.7770552,98517540.17649789,15977390.153274499,49421.477473293075
38940,Port St. Lucie,FL,2009,1,56906.0,113518408.20130475,368663160.2982293,92759762.34855545,15639879.776328051,45700.71528424977
38940,Port St. Lucie,FL,2010,1,57023.0,103440674.00275102,365842100.87116003,89322657.49656121,16359641.448876662,45859.51948647409
38940,Port St. Lucie,FL,2011,1,57429.0,101643308.13694976,375657294.7976879,85923840.8181414,17729594.486438416,47009.46153846154
38940,Port St. Lucie,FL,2012,1,57812.0,95168065.33101045,344606979.09407663,85841029.18118466,16792006.097560976,49968.41289198606
38940,Port St. Lucie,FL,2013,1,58328.0,96346223.60515021,337855422.31759655,84748637.33905579,17297611.15879828,47766.51587982832
38940,Port St. Lucie,FL,2014,1,58269.0,96647470.21546261,341621465.56822985,84647826.78495987,17803936.206168145,50434.583438952264
38940,Port St. Lucie,FL,2015,1,59175.0,98363582.278481,350939079.3248945,84605411.81434599,17824555.69620253,52409.8687763713
38940,Port St. Lucie,FL,2016,1,59039.0,101405292.91666667,353571305.8333333,86806953.75,17758365.0,54115.70875
